"cnty_fips","display_name","Value","theme_range","airqual","PARKS","sev_housing"
15005,"""Kalawao, (HI)""",-1,,-1,100,22.2
15007,"""Kauai, (HI)""",62.8,"28.0 - 75.9 (591)",-1,59,26.5
15009,"""Maui, (HI)""",58.7,"28.0 - 75.9 (591)",-1,62,32.2
41003,"""Benton, (OR)""",53.4,"28.0 - 75.9 (591)",8.3,45,23.4
41005,"""Clackamas, (OR)""",52.1,"28.0 - 75.9 (591)",9.2,44,18.4
41007,"""Clatsop, (OR)""",89.3,"76.0 - 91.3 (584)",6.3,35,21
41009,"""Columbia, (OR)""",71.3,"28.0 - 75.9 (591)",7.3,8,14.4
41011,"""Coos, (OR)""",93.8,"91.4 - 108.6 (588)",8,21,17.9
41013,"""Crook, (OR)""",96.1,"91.4 - 108.6 (588)",7.8,31,20.6
41015,"""Curry, (OR)""",91.3,"76.0 - 91.3 (584)",8,36,17.7
41017,"""Deschutes, (OR)""",67.1,"28.0 - 75.9 (591)",8.3,51,21.4
41019,"""Douglas, (OR)""",80,"76.0 - 91.3 (584)",8.8,16,18
41021,"""Gilliam, (OR)""",-1,,7,31,10.2
41027,"""Hood River, (OR)""",67.5,"28.0 - 75.9 (591)",6.1,31,15.3
41029,"""Jackson, (OR)""",55.9,"28.0 - 75.9 (591)",8.6,37,23.5
41031,"""Jefferson, (OR)""",87.6,"76.0 - 91.3 (584)",7.6,8,17.7
41033,"""Josephine, (OR)""",60.1,"28.0 - 75.9 (591)",7.9,18,23.8
41035,"""Klamath, (OR)""",80.5,"76.0 - 91.3 (584)",7.7,20,19.9
41037,"""Lake, (OR)""",68.2,"28.0 - 75.9 (591)",6.5,1,19.1
41039,"""Lane, (OR)""",56.2,"28.0 - 75.9 (591)",9.9,64,22
41041,"""Lincoln, (OR)""",70.5,"28.0 - 75.9 (591)",7.1,55,18.8
41043,"""Linn, (OR)""",87.5,"76.0 - 91.3 (584)",8.8,39,19.1
41047,"""Marion, (OR)""",63.7,"28.0 - 75.9 (591)",9.1,55,21.7
41051,"""Multnomah, (OR)""",64,"28.0 - 75.9 (591)",8.4,84,22.5
