"cnty_fips","display_name","Value","theme_range","dm_prev_adj","ob_prev_adj","ltpia_prev_adj"
06113,"""Yolo, (CA)""",67.6,"28.0 - 75.9 (591)",6.5,24,13.8
06115,"""Yuba, (CA)""",136.6,"131.1 - 349.8 (586)",11.6,34.4,33.6
15001,"""Hawaii, (HI)""",75.3,"28.0 - 75.9 (591)",8.6,26.2,20.7
15003,"""Honolulu, (HI)""",66.1,"28.0 - 75.9 (591)",9.5,23.7,20.3
15005,"""Kalawao, (HI)""",-1,,6.5,17.6,16.6
15007,"""Kauai, (HI)""",62.8,"28.0 - 75.9 (591)",7.9,21.5,19.1
15009,"""Maui, (HI)""",58.7,"28.0 - 75.9 (591)",8.6,24.2,19.7
41003,"""Benton, (OR)""",53.4,"28.0 - 75.9 (591)",5.3,25,13
41005,"""Clackamas, (OR)""",52.1,"28.0 - 75.9 (591)",7.2,28.3,15.7
41007,"""Clatsop, (OR)""",89.3,"76.0 - 91.3 (584)",6.2,29.3,21
41009,"""Columbia, (OR)""",71.3,"28.0 - 75.9 (591)",10,30.1,20.5
41011,"""Coos, (OR)""",93.8,"91.4 - 108.6 (588)",9.8,39.2,25.3
41013,"""Crook, (OR)""",96.1,"91.4 - 108.6 (588)",14.8,33,24.7
41015,"""Curry, (OR)""",91.3,"76.0 - 91.3 (584)",7.9,34.8,21.4
41017,"""Deschutes, (OR)""",67.1,"28.0 - 75.9 (591)",6.9,22.7,13.6
41019,"""Douglas, (OR)""",80,"76.0 - 91.3 (584)",11.2,31.1,20.6
41021,"""Gilliam, (OR)""",-1,,13.2,36.7,26.3
41027,"""Hood River, (OR)""",67.5,"28.0 - 75.9 (591)",4.6,25.6,18.5
41029,"""Jackson, (OR)""",55.9,"28.0 - 75.9 (591)",8.5,24,14.3
41031,"""Jefferson, (OR)""",87.6,"76.0 - 91.3 (584)",17.5,43.3,23
41033,"""Josephine, (OR)""",60.1,"28.0 - 75.9 (591)",8.6,31.2,19
41035,"""Klamath, (OR)""",80.5,"76.0 - 91.3 (584)",10.3,33.1,21.8
41037,"""Lake, (OR)""",68.2,"28.0 - 75.9 (591)",12,34.3,29.8
41039,"""Lane, (OR)""",56.2,"28.0 - 75.9 (591)",7.6,27.1,16.9
41041,"""Lincoln, (OR)""",70.5,"28.0 - 75.9 (591)",8.4,36,19.4
41043,"""Linn, (OR)""",87.5,"76.0 - 91.3 (584)",8.9,36.2,20.1
41047,"""Marion, (OR)""",63.7,"28.0 - 75.9 (591)",8.9,34,17.6
41051,"""Multnomah, (OR)""",64,"28.0 - 75.9 (591)",8.1,23.6,13.8
41053,"""Polk, (OR)""",49.5,"28.0 - 75.9 (591)",10.5,34.8,18.1
41055,"""Sherman, (OR)""",-1,,3.9,28.3,26.1
41057,"""Tillamook, (OR)""",68.8,"28.0 - 75.9 (591)",4.7,32.9,23.1
41065,"""Wasco, (OR)""",79.5,"76.0 - 91.3 (584)",3.5,28.2,20.7
41067,"""Washington, (OR)""",50.1,"28.0 - 75.9 (591)",7.7,29.7,14.2
41069,"""Wheeler, (OR)""",-1,,14.3,26.1,24.5
41071,"""Yamhill, (OR)""",74.7,"28.0 - 75.9 (591)",9.7,33.4,22.9
53007,"""Chelan, (WA)""",54.9,"28.0 - 75.9 (591)",5.3,26.3,17.4
53009,"""Clallam, (WA)""",72.2,"28.0 - 75.9 (591)",8.6,29,18.7
53011,"""Clark, (WA)""",67.8,"28.0 - 75.9 (591)",9,30,16.9
53015,"""Cowlitz, (WA)""",103.3,"91.4 - 108.6 (588)",9.4,34.7,21.6
53027,"""Grays Harbor, (WA)""",94.1,"91.4 - 108.6 (588)",10.6,35.8,22.8
53029,"""Island, (WA)""",84.3,"76.0 - 91.3 (584)",6.2,29.4,15.8
53031,"""Jefferson, (WA)""",72.3,"28.0 - 75.9 (591)",4.8,23.8,10.4
53033,"""King, (WA)""",68.2,"28.0 - 75.9 (591)",7.1,21.9,13.4
53035,"""Kitsap, (WA)""",80.5,"76.0 - 91.3 (584)",7.2,30.7,15.9
53037,"""Kittitas, (WA)""",79.3,"76.0 - 91.3 (584)",6.1,27.5,20.9
53039,"""Klickitat, (WA)""",62.2,"28.0 - 75.9 (591)",8.5,29.5,18.3
53041,"""Lewis, (WA)""",108.8,"108.7 - 131.0 (582)",8.2,35.2,23
53045,"""Mason, (WA)""",70.4,"28.0 - 75.9 (591)",9.4,36.2,21.7
53047,"""Okanogan, (WA)""",89.3,"76.0 - 91.3 (584)",8.5,33.3,22.1
53049,"""Pacific, (WA)""",165.3,"131.1 - 349.8 (586)",11,33.8,22.7
53053,"""Pierce, (WA)""",100.8,"91.4 - 108.6 (588)",9,31,18.8
53055,"""San Juan, (WA)""",32.1,"28.0 - 75.9 (591)",3.3,17,12.7
53057,"""Skagit, (WA)""",72.6,"28.0 - 75.9 (591)",8.8,29.2,15.7
53059,"""Skamania, (WA)""",60.9,"28.0 - 75.9 (591)",8.4,33.1,16.9
53061,"""Snohomish, (WA)""",74.7,"28.0 - 75.9 (591)",7.7,28.6,17.6
53067,"""Thurston, (WA)""",76,"76.0 - 91.3 (584)",9.1,29.8,16.1
53069,"""Wahkiakum, (WA)""",89.1,"76.0 - 91.3 (584)",9.1,35.6,22
53073,"""Whatcom, (WA)""",73.3,"28.0 - 75.9 (591)",7.5,27.8,14
53077,"""Yakima, (WA)""",67.2,"28.0 - 75.9 (591)",10.7,35,22.3
04001,"""Apache, (AZ)""",101.2,"91.4 - 108.6 (588)",15.4,33.7,26.5
04003,"""Cochise, (AZ)""",104.2,"91.4 - 108.6 (588)",8.4,30,23.4
04005,"""Coconino, (AZ)""",81.6,"76.0 - 91.3 (584)",7.7,23.8,17.1
04007,"""Gila, (AZ)""",133.8,"131.1 - 349.8 (586)",12,32.8,24.9
04009,"""Graham, (AZ)""",88.3,"76.0 - 91.3 (584)",9.6,34.9,23.1
04011,"""Greenlee, (AZ)""",93.8,"91.4 - 108.6 (588)",11.3,29.3,22.1
04012,"""La Paz, (AZ)""",147.6,"131.1 - 349.8 (586)",9.5,31.5,38.7
04013,"""Maricopa, (AZ)""",80.5,"76.0 - 91.3 (584)",8.2,26.9,20
04015,"""Mohave, (AZ)""",169.6,"131.1 - 349.8 (586)",10.1,32.2,29.6
04017,"""Navajo, (AZ)""",90.7,"76.0 - 91.3 (584)",13.6,34.3,27.9
