"cnty_fips","display_name","Value","theme_range","total_cost"
41011,"""Coos, (OR)""",171.1,"148.7 - 175.5 (644)",16524
41013,"""Crook, (OR)""",162,"148.7 - 175.5 (644)",16377
41015,"""Curry, (OR)""",169.7,"148.7 - 175.5 (644)",17055
41017,"""Deschutes, (OR)""",131.4,"26.6 - 148.6 (644)",13413
41019,"""Douglas, (OR)""",153.8,"148.7 - 175.5 (644)",14691
41021,"""Gilliam, (OR)""",132.3,"26.6 - 148.6 (644)",14298
41027,"""Hood River, (OR)""",120.8,"26.6 - 148.6 (644)",16481
41029,"""Jackson, (OR)""",110.3,"26.6 - 148.6 (644)",16835
41031,"""Jefferson, (OR)""",155.2,"148.7 - 175.5 (644)",15810
41033,"""Josephine, (OR)""",119.2,"26.6 - 148.6 (644)",15955
41035,"""Klamath, (OR)""",149.7,"148.7 - 175.5 (644)",16348
41037,"""Lake, (OR)""",155.7,"148.7 - 175.5 (644)",16657
41039,"""Lane, (OR)""",110.5,"26.6 - 148.6 (644)",17316
41041,"""Lincoln, (OR)""",121.7,"26.6 - 148.6 (644)",16820
41043,"""Linn, (OR)""",164.3,"148.7 - 175.5 (644)",17461
41047,"""Marion, (OR)""",124.2,"26.6 - 148.6 (644)",17043
41051,"""Multnomah, (OR)""",124.5,"26.6 - 148.6 (644)",18877
41053,"""Polk, (OR)""",103.5,"26.6 - 148.6 (644)",16874
41055,"""Sherman, (OR)""",148.4,"26.6 - 148.6 (644)",19908
41057,"""Tillamook, (OR)""",127.8,"26.6 - 148.6 (644)",18754
41065,"""Wasco, (OR)""",134.9,"26.6 - 148.6 (644)",16323
41067,"""Washington, (OR)""",98.5,"26.6 - 148.6 (644)",17416
41069,"""Wheeler, (OR)""",164.2,"148.7 - 175.5 (644)",15781
41071,"""Yamhill, (OR)""",136.6,"26.6 - 148.6 (644)",16958
53007,"""Chelan, (WA)""",126.3,"26.6 - 148.6 (644)",17229
53009,"""Clallam, (WA)""",141.2,"26.6 - 148.6 (644)",16212
53011,"""Clark, (WA)""",132.4,"26.6 - 148.6 (644)",17744
53015,"""Cowlitz, (WA)""",197.6,"175.6 - 204.1 (644)",17676
53027,"""Grays Harbor, (WA)""",179.1,"175.6 - 204.1 (644)",18270
53029,"""Island, (WA)""",149.2,"148.7 - 175.5 (644)",16997
53031,"""Jefferson, (WA)""",146.6,"26.6 - 148.6 (644)",16515
53033,"""King, (WA)""",133.1,"26.6 - 148.6 (644)",18179
53035,"""Kitsap, (WA)""",159.7,"148.7 - 175.5 (644)",16966
53037,"""Kittitas, (WA)""",152.8,"148.7 - 175.5 (644)",16139
53039,"""Klickitat, (WA)""",129,"26.6 - 148.6 (644)",18885
53041,"""Lewis, (WA)""",209.3,"204.2 - 242.8 (644)",17775
53045,"""Mason, (WA)""",146.9,"26.6 - 148.6 (644)",17275
53047,"""Okanogan, (WA)""",170.5,"148.7 - 175.5 (644)",19275
53049,"""Pacific, (WA)""",296.5,"242.9 - 651.5 (644)",19784
53053,"""Pierce, (WA)""",195.8,"175.6 - 204.1 (644)",17980
53055,"""San Juan, (WA)""",104.5,"26.6 - 148.6 (644)",18321
53057,"""Skagit, (WA)""",141.7,"26.6 - 148.6 (644)",18056
53059,"""Skamania, (WA)""",128,"26.6 - 148.6 (644)",18274
53061,"""Snohomish, (WA)""",144.6,"26.6 - 148.6 (644)",18186
53067,"""Thurston, (WA)""",150.8,"148.7 - 175.5 (644)",16715
53069,"""Wahkiakum, (WA)""",190.1,"175.6 - 204.1 (644)",15833
53073,"""Whatcom, (WA)""",143.3,"26.6 - 148.6 (644)",16361
53077,"""Yakima, (WA)""",134.9,"26.6 - 148.6 (644)",17987
