"cnty_fips","display_name","Value","theme_range","total_cost"
31169,"""Thayer, (NE)""",219.8,"204.2 - 242.8 (644)",22071
31171,"""Thomas, (NE)""",117.5,"26.6 - 148.6 (644)",12110
31173,"""Thurston, (NE)""",286.7,"242.9 - 651.5 (644)",23285
31175,"""Valley, (NE)""",195.1,"175.6 - 204.1 (644)",19988
31177,"""Washington, (NE)""",132.4,"26.6 - 148.6 (644)",18719
31179,"""Wayne, (NE)""",117.1,"26.6 - 148.6 (644)",21584
31181,"""Webster, (NE)""",204.6,"204.2 - 242.8 (644)",21420
31183,"""Wheeler, (NE)""",183.3,"175.6 - 204.1 (644)",14423
31185,"""York, (NE)""",182.7,"175.6 - 204.1 (644)",17186
35001,"""Bernalillo, (NM)""",191.2,"175.6 - 204.1 (644)",17772
35005,"""Chaves, (NM)""",356.3,"242.9 - 651.5 (644)",19148
35007,"""Colfax, (NM)""",150.7,"148.7 - 175.5 (644)",15709
35009,"""Curry, (NM)""",294.1,"242.9 - 651.5 (644)",18473
35011,"""De Baca, (NM)""",288.9,"242.9 - 651.5 (644)",16859
35015,"""Eddy, (NM)""",277.4,"242.9 - 651.5 (644)",18908
35019,"""Guadalupe, (NM)""",251.4,"242.9 - 651.5 (644)",16741
35021,"""Harding, (NM)""",201.5,"175.6 - 204.1 (644)",17135
35025,"""Lea, (NM)""",280.9,"242.9 - 651.5 (644)",20454
35027,"""Lincoln, (NM)""",174.3,"148.7 - 175.5 (644)",18626
35028,"""Los Alamos, (NM)""",144.8,"26.6 - 148.6 (644)",12283
35033,"""Mora, (NM)""",138.3,"26.6 - 148.6 (644)",11585
35035,"""Otero, (NM)""",207.5,"204.2 - 242.8 (644)",17265
35037,"""Quay, (NM)""",245.1,"242.9 - 651.5 (644)",18119
35039,"""Rio Arriba, (NM)""",147.6,"26.6 - 148.6 (644)",17759
35041,"""Roosevelt, (NM)""",274.2,"242.9 - 651.5 (644)",19599
35047,"""San Miguel, (NM)""",212,"204.2 - 242.8 (644)",18359
35049,"""Santa Fe, (NM)""",138.8,"26.6 - 148.6 (644)",14889
35055,"""Taos, (NM)""",142.4,"26.6 - 148.6 (644)",15502
35057,"""Torrance, (NM)""",195.7,"175.6 - 204.1 (644)",17117
35059,"""Union, (NM)""",191.2,"175.6 - 204.1 (644)",22231
40001,"""Adair, (OK)""",317.2,"242.9 - 651.5 (644)",22558
40003,"""Alfalfa, (OK)""",238.6,"204.2 - 242.8 (644)",18919
40005,"""Atoka, (OK)""",322.3,"242.9 - 651.5 (644)",23887
40007,"""Beaver, (OK)""",301.6,"242.9 - 651.5 (644)",21449
40009,"""Beckham, (OK)""",238.8,"204.2 - 242.8 (644)",18061
40011,"""Blaine, (OK)""",232.6,"204.2 - 242.8 (644)",21732
40013,"""Bryan, (OK)""",204.6,"204.2 - 242.8 (644)",23608
40015,"""Caddo, (OK)""",270.8,"242.9 - 651.5 (644)",25158
40017,"""Canadian, (OK)""",186.1,"175.6 - 204.1 (644)",18359
40019,"""Carter, (OK)""",296.1,"242.9 - 651.5 (644)",21141
40021,"""Cherokee, (OK)""",281.8,"242.9 - 651.5 (644)",21915
40023,"""Choctaw, (OK)""",349.2,"242.9 - 651.5 (644)",21979
40025,"""Cimarron, (OK)""",242.3,"204.2 - 242.8 (644)",24649
40027,"""Cleveland, (OK)""",194.5,"175.6 - 204.1 (644)",19073
40029,"""Coal, (OK)""",400,"242.9 - 651.5 (644)",22684
40031,"""Comanche, (OK)""",240.1,"204.2 - 242.8 (644)",18679
40033,"""Cotton, (OK)""",230.4,"204.2 - 242.8 (644)",21132
40035,"""Craig, (OK)""",346.9,"242.9 - 651.5 (644)",21445
40037,"""Creek, (OK)""",215.4,"204.2 - 242.8 (644)",21159
40039,"""Custer, (OK)""",253.1,"242.9 - 651.5 (644)",18170
40041,"""Delaware, (OK)""",241.8,"204.2 - 242.8 (644)",20074
40043,"""Dewey, (OK)""",279,"242.9 - 651.5 (644)",20265
40045,"""Ellis, (OK)""",295.3,"242.9 - 651.5 (644)",15898
40047,"""Garfield, (OK)""",240.4,"204.2 - 242.8 (644)",18707
40049,"""Garvin, (OK)""",283.3,"242.9 - 651.5 (644)",21161
40051,"""Grady, (OK)""",257.5,"242.9 - 651.5 (644)",19888
40053,"""Grant, (OK)""",237.6,"204.2 - 242.8 (644)",18866
40055,"""Greer, (OK)""",235.1,"204.2 - 242.8 (644)",20330
40057,"""Harmon, (OK)""",236.4,"204.2 - 242.8 (644)",26965
40059,"""Harper, (OK)""",292.3,"242.9 - 651.5 (644)",17270
40061,"""Haskell, (OK)""",340.6,"242.9 - 651.5 (644)",23331
40063,"""Hughes, (OK)""",421,"242.9 - 651.5 (644)",20706
40065,"""Jackson, (OK)""",230.9,"204.2 - 242.8 (644)",20946
40067,"""Jefferson, (OK)""",338.4,"242.9 - 651.5 (644)",22015
40069,"""Johnston, (OK)""",260.2,"242.9 - 651.5 (644)",23882
40071,"""Kay, (OK)""",238.1,"204.2 - 242.8 (644)",19575
40073,"""Kingfisher, (OK)""",196.4,"175.6 - 204.1 (644)",22550
40075,"""Kiowa, (OK)""",253.1,"242.9 - 651.5 (644)",18456
40077,"""Latimer, (OK)""",320.3,"242.9 - 651.5 (644)",23480
40079,"""Le Flore, (OK)""",317.7,"242.9 - 651.5 (644)",23386
40081,"""Lincoln, (OK)""",237.8,"204.2 - 242.8 (644)",20261
40083,"""Logan, (OK)""",195,"175.6 - 204.1 (644)",19760
40085,"""Love, (OK)""",203.8,"175.6 - 204.1 (644)",24700
40087,"""McClain, (OK)""",231.4,"204.2 - 242.8 (644)",19776
40089,"""McCurtain, (OK)""",354.5,"242.9 - 651.5 (644)",20861
40091,"""McIntosh, (OK)""",352.6,"242.9 - 651.5 (644)",19901
40093,"""Major, (OK)""",263.8,"242.9 - 651.5 (644)",18357
40095,"""Marshall, (OK)""",205,"204.2 - 242.8 (644)",22348
40097,"""Mayes, (OK)""",255.1,"242.9 - 651.5 (644)",22170
40099,"""Murray, (OK)""",291.8,"242.9 - 651.5 (644)",21786
40101,"""Muskogee, (OK)""",348.8,"242.9 - 651.5 (644)",23731
40103,"""Noble, (OK)""",231.3,"204.2 - 242.8 (644)",15661
40105,"""Nowata, (OK)""",221.6,"204.2 - 242.8 (644)",23223
40107,"""Okfuskee, (OK)""",328.9,"242.9 - 651.5 (644)",19212
40109,"""Oklahoma, (OK)""",223.1,"204.2 - 242.8 (644)",19733
40111,"""Okmulgee, (OK)""",303.4,"242.9 - 651.5 (644)",21862
40113,"""Osage, (OK)""",206.7,"204.2 - 242.8 (644)",22072
40115,"""Ottawa, (OK)""",337.5,"242.9 - 651.5 (644)",19823
40117,"""Pawnee, (OK)""",234.3,"204.2 - 242.8 (644)",24654
40119,"""Payne, (OK)""",196.9,"175.6 - 204.1 (644)",18907
40121,"""Pittsburg, (OK)""",337.2,"242.9 - 651.5 (644)",19772
40123,"""Pontotoc, (OK)""",285.2,"242.9 - 651.5 (644)",19965
40125,"""Pottawatomie, (OK)""",293.1,"242.9 - 651.5 (644)",20011
40127,"""Pushmataha, (OK)""",331.4,"242.9 - 651.5 (644)",20523
40129,"""Roger Mills, (OK)""",245.9,"242.9 - 651.5 (644)",16372
40131,"""Rogers, (OK)""",244.7,"242.9 - 651.5 (644)",20555
40133,"""Seminole, (OK)""",378.1,"242.9 - 651.5 (644)",22160
40135,"""Sequoyah, (OK)""",319.7,"242.9 - 651.5 (644)",22930
40137,"""Stephens, (OK)""",290.8,"242.9 - 651.5 (644)",18350
40139,"""Texas, (OK)""",252.6,"242.9 - 651.5 (644)",18834
40141,"""Tillman, (OK)""",238.5,"204.2 - 242.8 (644)",22272
40143,"""Tulsa, (OK)""",222.9,"204.2 - 242.8 (644)",21960
40145,"""Wagoner, (OK)""",213.4,"204.2 - 242.8 (644)",21750
40147,"""Washington, (OK)""",212.4,"204.2 - 242.8 (644)",17218
40149,"""Washita, (OK)""",267.7,"242.9 - 651.5 (644)",19394
40151,"""Woods, (OK)""",265.4,"242.9 - 651.5 (644)",15443
40153,"""Woodward, (OK)""",296.9,"242.9 - 651.5 (644)",18675
46003,"""Aurora, (SD)""",202.2,"175.6 - 204.1 (644)",15601
46005,"""Beadle, (SD)""",200.5,"175.6 - 204.1 (644)",17432
46007,"""Bennett, (SD)""",300.1,"242.9 - 651.5 (644)",26864
46009,"""Bon Homme, (SD)""",188.9,"175.6 - 204.1 (644)",21082
46011,"""Brookings, (SD)""",201.7,"175.6 - 204.1 (644)",17256
46015,"""Brule, (SD)""",272.7,"242.9 - 651.5 (644)",18415
46017,"""Buffalo, (SD)""",310.3,"242.9 - 651.5 (644)",23658
46023,"""Charles Mix, (SD)""",230,"204.2 - 242.8 (644)",19919
46027,"""Clay, (SD)""",260.2,"242.9 - 651.5 (644)",17636
46033,"""Custer, (SD)""",164.4,"148.7 - 175.5 (644)",16369
46035,"""Davison, (SD)""",141.3,"26.6 - 148.6 (644)",17864
46043,"""Douglas, (SD)""",137.3,"26.6 - 148.6 (644)",18599
46047,"""Fall River, (SD)""",258,"242.9 - 651.5 (644)",21346
46053,"""Gregory, (SD)""",247.6,"242.9 - 651.5 (644)",27386
46055,"""Haakon, (SD)""",206.7,"204.2 - 242.8 (644)",17732
46059,"""Hand, (SD)""",205.8,"204.2 - 242.8 (644)",23842
46061,"""Hanson, (SD)""",153.3,"148.7 - 175.5 (644)",14990
46065,"""Hughes, (SD)""",178.4,"175.6 - 204.1 (644)",15358
46067,"""Hutchinson, (SD)""",194.3,"175.6 - 204.1 (644)",22166
46069,"""Hyde, (SD)""",218.9,"204.2 - 242.8 (644)",16155
46071,"""Jackson, (SD)""",251.8,"242.9 - 651.5 (644)",25806
46073,"""Jerauld, (SD)""",236.1,"204.2 - 242.8 (644)",24418
46075,"""Jones, (SD)""",224.9,"204.2 - 242.8 (644)",17070
46077,"""Kingsbury, (SD)""",195.1,"175.6 - 204.1 (644)",19265
46079,"""Lake, (SD)""",194.8,"175.6 - 204.1 (644)",17426
46081,"""Lawrence, (SD)""",149.7,"148.7 - 175.5 (644)",15220
46083,"""Lincoln, (SD)""",126.3,"26.6 - 148.6 (644)",18424
46085,"""Lyman, (SD)""",225.8,"204.2 - 242.8 (644)",14777
46087,"""McCook, (SD)""",195.6,"175.6 - 204.1 (644)",21418
46093,"""Meade, (SD)""",201.2,"175.6 - 204.1 (644)",17619
46095,"""Mellette, (SD)""",287.2,"242.9 - 651.5 (644)",24361
46097,"""Miner, (SD)""",200,"175.6 - 204.1 (644)",16780
46099,"""Minnehaha, (SD)""",175.9,"175.6 - 204.1 (644)",18131
46101,"""Moody, (SD)""",193.1,"175.6 - 204.1 (644)",16650
46103,"""Pennington, (SD)""",212.8,"204.2 - 242.8 (644)",17383
46111,"""Sanborn, (SD)""",172.1,"148.7 - 175.5 (644)",9955
46102,"""Oglala Lakota, (SD)""",81.7,"26.6 - 148.6 (644)",32658
46117,"""Stanley, (SD)""",160.3,"148.7 - 175.5 (644)",14193
46121,"""Todd, (SD)""",312.3,"242.9 - 651.5 (644)",31204
46123,"""Tripp, (SD)""",251.4,"242.9 - 651.5 (644)",19168
46125,"""Turner, (SD)""",233.5,"204.2 - 242.8 (644)",16662
46127,"""Union, (SD)""",121.4,"26.6 - 148.6 (644)",17538
46135,"""Yankton, (SD)""",205.4,"204.2 - 242.8 (644)",15493
48003,"""Andrews, (TX)""",293.3,"242.9 - 651.5 (644)",21858
48009,"""Archer, (TX)""",236.4,"204.2 - 242.8 (644)",19557
48011,"""Armstrong, (TX)""",284.5,"242.9 - 651.5 (644)",16571
48017,"""Bailey, (TX)""",227.7,"204.2 - 242.8 (644)",21008
48023,"""Baylor, (TX)""",245.2,"242.9 - 651.5 (644)",26240
48033,"""Borden, (TX)""",211.9,"204.2 - 242.8 (644)",16410
48037,"""Bowie, (TX)""",348.3,"242.9 - 651.5 (644)",22894
48045,"""Briscoe, (TX)""",177.6,"175.6 - 204.1 (644)",19691
48059,"""Callahan, (TX)""",272.7,"242.9 - 651.5 (644)",22142
48063,"""Camp, (TX)""",251.3,"242.9 - 651.5 (644)",22319
48065,"""Carson, (TX)""",306.8,"242.9 - 651.5 (644)",21552
48067,"""Cass, (TX)""",310.3,"242.9 - 651.5 (644)",22727
48069,"""Castro, (TX)""",245.3,"242.9 - 651.5 (644)",22957
48075,"""Childress, (TX)""",271.7,"242.9 - 651.5 (644)",22228
48077,"""Clay, (TX)""",230.2,"204.2 - 242.8 (644)",23961
48079,"""Cochran, (TX)""",246.8,"242.9 - 651.5 (644)",16110
48085,"""Collin, (TX)""",129.8,"26.6 - 148.6 (644)",20706
48087,"""Collingsworth, (TX)""",329.9,"242.9 - 651.5 (644)",25953
48097,"""Cooke, (TX)""",157.6,"148.7 - 175.5 (644)",21985
48101,"""Cottle, (TX)""",243.6,"242.9 - 651.5 (644)",27947
48107,"""Crosby, (TX)""",233.1,"204.2 - 242.8 (644)",22595
48111,"""Dallam, (TX)""",216.7,"204.2 - 242.8 (644)",23716
48113,"""Dallas, (TX)""",168.8,"148.7 - 175.5 (644)",23780
48115,"""Dawson, (TX)""",238.3,"204.2 - 242.8 (644)",21319
48117,"""Deaf Smith, (TX)""",230,"204.2 - 242.8 (644)",19124
48119,"""Delta, (TX)""",342.9,"242.9 - 651.5 (644)",20556
48121,"""Denton, (TX)""",118.1,"26.6 - 148.6 (644)",21546
48125,"""Dickens, (TX)""",172.5,"148.7 - 175.5 (644)",27183
48129,"""Donley, (TX)""",254.9,"242.9 - 651.5 (644)",23204
48133,"""Eastland, (TX)""",206.7,"204.2 - 242.8 (644)",22965
48139,"""Ellis, (TX)""",168.9,"148.7 - 175.5 (644)",21680
48143,"""Erath, (TX)""",258.6,"242.9 - 651.5 (644)",20285
48147,"""Fannin, (TX)""",348.3,"242.9 - 651.5 (644)",22928
48151,"""Fisher, (TX)""",250.2,"242.9 - 651.5 (644)",20410
48153,"""Floyd, (TX)""",233.5,"204.2 - 242.8 (644)",22221
48155,"""Foard, (TX)""",218.7,"204.2 - 242.8 (644)",29237
48159,"""Franklin, (TX)""",282.1,"242.9 - 651.5 (644)",20251
48165,"""Gaines, (TX)""",258.1,"242.9 - 651.5 (644)",21040
48169,"""Garza, (TX)""",226.9,"204.2 - 242.8 (644)",24200
48179,"""Gray, (TX)""",365.9,"242.9 - 651.5 (644)",20106
48181,"""Grayson, (TX)""",196.5,"175.6 - 204.1 (644)",23269
48183,"""Gregg, (TX)""",241.5,"204.2 - 242.8 (644)",23362
48189,"""Hale, (TX)""",234.8,"204.2 - 242.8 (644)",21995
48191,"""Hall, (TX)""",201.1,"175.6 - 204.1 (644)",20279
48195,"""Hansford, (TX)""",219.2,"204.2 - 242.8 (644)",18280
48197,"""Hardeman, (TX)""",233.6,"204.2 - 242.8 (644)",22811
48203,"""Harrison, (TX)""",212.5,"204.2 - 242.8 (644)",21772
48205,"""Hartley, (TX)""",247.4,"242.9 - 651.5 (644)",24843
48207,"""Haskell, (TX)""",269.9,"242.9 - 651.5 (644)",23422
48211,"""Hemphill, (TX)""",278.3,"242.9 - 651.5 (644)",13137
48213,"""Henderson, (TX)""",285.6,"242.9 - 651.5 (644)",21692
48219,"""Hockley, (TX)""",186.9,"175.6 - 204.1 (644)",21324
48221,"""Hood, (TX)""",183.6,"175.6 - 204.1 (644)",20271
48223,"""Hopkins, (TX)""",283.7,"242.9 - 651.5 (644)",22130
48227,"""Howard, (TX)""",353.9,"242.9 - 651.5 (644)",21091
48231,"""Hunt, (TX)""",249.9,"242.9 - 651.5 (644)",24642
48233,"""Hutchinson, (TX)""",431,"242.9 - 651.5 (644)",21378
48237,"""Jack, (TX)""",239.6,"204.2 - 242.8 (644)",20326
48251,"""Johnson, (TX)""",221.6,"204.2 - 242.8 (644)",21723
48253,"""Jones, (TX)""",277.1,"242.9 - 651.5 (644)",21969
48257,"""Kaufman, (TX)""",243.6,"242.9 - 651.5 (644)",23737
48263,"""Kent, (TX)""",190.4,"175.6 - 204.1 (644)",21145
48269,"""King, (TX)""",208,"204.2 - 242.8 (644)",-9999
48275,"""Knox, (TX)""",247.2,"242.9 - 651.5 (644)",23927
48277,"""Lamar, (TX)""",359.5,"242.9 - 651.5 (644)",19666
48279,"""Lamb, (TX)""",239.4,"204.2 - 242.8 (644)",17767
48295,"""Lipscomb, (TX)""",245.1,"242.9 - 651.5 (644)",15883
48303,"""Lubbock, (TX)""",238.6,"204.2 - 242.8 (644)",20588
48305,"""Lynn, (TX)""",226.3,"204.2 - 242.8 (644)",29825
48315,"""Marion, (TX)""",233,"204.2 - 242.8 (644)",25523
48317,"""Martin, (TX)""",256.6,"242.9 - 651.5 (644)",25184
48335,"""Mitchell, (TX)""",202.6,"175.6 - 204.1 (644)",28263
48337,"""Montague, (TX)""",262.2,"242.9 - 651.5 (644)",22593
48341,"""Moore, (TX)""",243.4,"242.9 - 651.5 (644)",21599
48343,"""Morris, (TX)""",279.6,"242.9 - 651.5 (644)",24385
48345,"""Motley, (TX)""",178.9,"175.6 - 204.1 (644)",20020
48353,"""Nolan, (TX)""",247.8,"242.9 - 651.5 (644)",20868
48357,"""Ochiltree, (TX)""",382.7,"242.9 - 651.5 (644)",18694
48359,"""Oldham, (TX)""",226.5,"204.2 - 242.8 (644)",16742
48363,"""Palo Pinto, (TX)""",307.9,"242.9 - 651.5 (644)",21164
48365,"""Panola, (TX)""",199.2,"175.6 - 204.1 (644)",25027
48367,"""Parker, (TX)""",188.2,"175.6 - 204.1 (644)",22662
48369,"""Parmer, (TX)""",218.5,"204.2 - 242.8 (644)",18301
48375,"""Potter, (TX)""",342.6,"242.9 - 651.5 (644)",21248
48379,"""Rains, (TX)""",242.2,"204.2 - 242.8 (644)",24731
48381,"""Randall, (TX)""",258.1,"242.9 - 651.5 (644)",18615
48387,"""Red River, (TX)""",368.1,"242.9 - 651.5 (644)",19234
48393,"""Roberts, (TX)""",334.2,"242.9 - 651.5 (644)",16853
48397,"""Rockwall, (TX)""",188.5,"175.6 - 204.1 (644)",21969
48401,"""Rusk, (TX)""",215.3,"204.2 - 242.8 (644)",22993
48415,"""Scurry, (TX)""",175.8,"175.6 - 204.1 (644)",20769
48417,"""Shackelford, (TX)""",254.3,"242.9 - 651.5 (644)",21218
48421,"""Sherman, (TX)""",270,"242.9 - 651.5 (644)",17887
48423,"""Smith, (TX)""",209,"204.2 - 242.8 (644)",21022
48425,"""Somervell, (TX)""",202.3,"175.6 - 204.1 (644)",22441
48429,"""Stephens, (TX)""",268.7,"242.9 - 651.5 (644)",22552
48433,"""Stonewall, (TX)""",273.8,"242.9 - 651.5 (644)",24986
48437,"""Swisher, (TX)""",248.3,"242.9 - 651.5 (644)",21295
48439,"""Tarrant, (TX)""",157.9,"148.7 - 175.5 (644)",23199
48441,"""Taylor, (TX)""",276.9,"242.9 - 651.5 (644)",22143
48445,"""Terry, (TX)""",302.9,"242.9 - 651.5 (644)",23955
48447,"""Throckmorton, (TX)""",251,"242.9 - 651.5 (644)",25295
48449,"""Titus, (TX)""",240.8,"204.2 - 242.8 (644)",23292
48459,"""Upshur, (TX)""",281.4,"242.9 - 651.5 (644)",22123
48467,"""Van Zandt, (TX)""",218.7,"204.2 - 242.8 (644)",22286
48483,"""Wheeler, (TX)""",279.7,"242.9 - 651.5 (644)",26877
48485,"""Wichita, (TX)""",245.4,"242.9 - 651.5 (644)",22500
48487,"""Wilbarger, (TX)""",240,"204.2 - 242.8 (644)",22487
48497,"""Wise, (TX)""",182.3,"175.6 - 204.1 (644)",24654
48499,"""Wood, (TX)""",227.7,"204.2 - 242.8 (644)",21483
48501,"""Yoakum, (TX)""",251.5,"242.9 - 651.5 (644)",25055
48503,"""Young, (TX)""",284.5,"242.9 - 651.5 (644)",24188
56001,"""Albany, (WY)""",139,"26.6 - 148.6 (644)",18326
56005,"""Campbell, (WY)""",269.6,"242.9 - 651.5 (644)",17156
56009,"""Converse, (WY)""",151.4,"148.7 - 175.5 (644)",21920
56011,"""Crook, (WY)""",228.9,"204.2 - 242.8 (644)",18778
56015,"""Goshen, (WY)""",157.7,"148.7 - 175.5 (644)",19493
56019,"""Johnson, (WY)""",191,"175.6 - 204.1 (644)",17900
56021,"""Laramie, (WY)""",155.7,"148.7 - 175.5 (644)",20664
56027,"""Niobrara, (WY)""",156.7,"148.7 - 175.5 (644)",25683
56031,"""Platte, (WY)""",156.1,"148.7 - 175.5 (644)",21049
56045,"""Weston, (WY)""",200.9,"175.6 - 204.1 (644)",18267
16003,"""Adams, (ID)""",128.8,"26.6 - 148.6 (644)",16499
16009,"""Benewah, (ID)""",204.1,"175.6 - 204.1 (644)",17527
16017,"""Bonner, (ID)""",148.8,"148.7 - 175.5 (644)",15930
16021,"""Boundary, (ID)""",160,"148.7 - 175.5 (644)",18441
16035,"""Clearwater, (ID)""",176.3,"175.6 - 204.1 (644)",17868
16049,"""Idaho, (ID)""",121.5,"26.6 - 148.6 (644)",19177
16055,"""Kootenai, (ID)""",185.6,"175.6 - 204.1 (644)",16230
16057,"""Latah, (ID)""",148,"26.6 - 148.6 (644)",17870
16059,"""Lemhi, (ID)""",112.4,"26.6 - 148.6 (644)",15679
16061,"""Lewis, (ID)""",130.8,"26.6 - 148.6 (644)",17307
16069,"""Nez Perce, (ID)""",136.8,"26.6 - 148.6 (644)",18007
16079,"""Shoshone, (ID)""",205.4,"204.2 - 242.8 (644)",17888
16085,"""Valley, (ID)""",88.2,"26.6 - 148.6 (644)",20825
27005,"""Becker, (MN)""",125.2,"26.6 - 148.6 (644)",20078
27007,"""Beltrami, (MN)""",140.7,"26.6 - 148.6 (644)",19465
27009,"""Benton, (MN)""",107.3,"26.6 - 148.6 (644)",17330
27011,"""Big Stone, (MN)""",191.4,"175.6 - 204.1 (644)",25098
27019,"""Carver, (MN)""",82.6,"26.6 - 148.6 (644)",15798
27021,"""Cass, (MN)""",130.3,"26.6 - 148.6 (644)",18730
27023,"""Chippewa, (MN)""",150.5,"148.7 - 175.5 (644)",22455
27027,"""Clay, (MN)""",139.5,"26.6 - 148.6 (644)",18252
27029,"""Clearwater, (MN)""",139.6,"26.6 - 148.6 (644)",24043
27035,"""Crow Wing, (MN)""",120.9,"26.6 - 148.6 (644)",19860
27041,"""Douglas, (MN)""",125.3,"26.6 - 148.6 (644)",21250
27051,"""Grant, (MN)""",173.9,"148.7 - 175.5 (644)",23673
27057,"""Hubbard, (MN)""",129.8,"26.6 - 148.6 (644)",20316
27061,"""Itasca, (MN)""",136.4,"26.6 - 148.6 (644)",18531
27067,"""Kandiyohi, (MN)""",97.9,"26.6 - 148.6 (644)",19713
27069,"""Kittson, (MN)""",182.7,"175.6 - 204.1 (644)",18753
27071,"""Koochiching, (MN)""",135,"26.6 - 148.6 (644)",16474
27073,"""Lac qui Parle, (MN)""",183.6,"175.6 - 204.1 (644)",17343
27077,"""Lake of the Woods, (MN)""",164.1,"148.7 - 175.5 (644)",26565
27085,"""McLeod, (MN)""",119.1,"26.6 - 148.6 (644)",18863
27087,"""Mahnomen, (MN)""",201.7,"175.6 - 204.1 (644)",18601
27089,"""Marshall, (MN)""",173.4,"148.7 - 175.5 (644)",19842
27093,"""Meeker, (MN)""",118.9,"26.6 - 148.6 (644)",19376
27097,"""Morrison, (MN)""",104.9,"26.6 - 148.6 (644)",19421
27107,"""Norman, (MN)""",193.6,"175.6 - 204.1 (644)",18836
27111,"""Otter Tail, (MN)""",178.3,"175.6 - 204.1 (644)",16626
27113,"""Pennington, (MN)""",187.5,"175.6 - 204.1 (644)",21103
27119,"""Polk, (MN)""",185.7,"175.6 - 204.1 (644)",19906
27121,"""Pope, (MN)""",119.7,"26.6 - 148.6 (644)",19041
27125,"""Red Lake, (MN)""",193.1,"175.6 - 204.1 (644)",18798
27129,"""Renville, (MN)""",120.5,"26.6 - 148.6 (644)",24854
27135,"""Roseau, (MN)""",173.6,"148.7 - 175.5 (644)",19518
27141,"""Sherburne, (MN)""",99.2,"26.6 - 148.6 (644)",21206
27145,"""Stearns, (MN)""",97.3,"26.6 - 148.6 (644)",18272
27149,"""Stevens, (MN)""",134.4,"26.6 - 148.6 (644)",29293
27151,"""Swift, (MN)""",177,"175.6 - 204.1 (644)",23992
27153,"""Todd, (MN)""",107.7,"26.6 - 148.6 (644)",24249
27155,"""Traverse, (MN)""",192.4,"175.6 - 204.1 (644)",19444
27159,"""Wadena, (MN)""",147.5,"26.6 - 148.6 (644)",23253
27167,"""Wilkin, (MN)""",177.1,"175.6 - 204.1 (644)",19223
27171,"""Wright, (MN)""",103.5,"26.6 - 148.6 (644)",19895
27173,"""Yellow Medicine, (MN)""",145.6,"26.6 - 148.6 (644)",25610
30001,"""Beaverhead, (MT)""",166.8,"148.7 - 175.5 (644)",17617
30003,"""Big Horn, (MT)""",163,"148.7 - 175.5 (644)",23006
30005,"""Blaine, (MT)""",254.1,"242.9 - 651.5 (644)",20973
30007,"""Broadwater, (MT)""",190.9,"175.6 - 204.1 (644)",14758
30009,"""Carbon, (MT)""",117.7,"26.6 - 148.6 (644)",19810
30011,"""Carter, (MT)""",206.8,"204.2 - 242.8 (644)",20838
30013,"""Cascade, (MT)""",161.9,"148.7 - 175.5 (644)",18520
30015,"""Chouteau, (MT)""",203.9,"175.6 - 204.1 (644)",17877
30017,"""Custer, (MT)""",164.7,"148.7 - 175.5 (644)",16980
30019,"""Daniels, (MT)""",242.7,"204.2 - 242.8 (644)",23483
30021,"""Dawson, (MT)""",97.1,"26.6 - 148.6 (644)",18623
30023,"""Deer Lodge, (MT)""",226.9,"204.2 - 242.8 (644)",20191
30025,"""Fallon, (MT)""",161.7,"148.7 - 175.5 (644)",22874
30027,"""Fergus, (MT)""",163,"148.7 - 175.5 (644)",17991
30029,"""Flathead, (MT)""",156.1,"148.7 - 175.5 (644)",16297
30031,"""Gallatin, (MT)""",123.7,"26.6 - 148.6 (644)",17748
30033,"""Garfield, (MT)""",188,"175.6 - 204.1 (644)",20030
30035,"""Glacier, (MT)""",233.5,"204.2 - 242.8 (644)",17741
30037,"""Golden Valley, (MT)""",169.7,"148.7 - 175.5 (644)",13420
30039,"""Granite, (MT)""",157,"148.7 - 175.5 (644)",19019
30041,"""Hill, (MT)""",251.1,"242.9 - 651.5 (644)",16500
30043,"""Jefferson, (MT)""",172.2,"148.7 - 175.5 (644)",17121
30045,"""Judith Basin, (MT)""",165.5,"148.7 - 175.5 (644)",16475
30047,"""Lake, (MT)""",175.9,"175.6 - 204.1 (644)",18041
30049,"""Lewis and Clark, (MT)""",147,"26.6 - 148.6 (644)",16124
30051,"""Liberty, (MT)""",181.9,"175.6 - 204.1 (644)",23470
30053,"""Lincoln, (MT)""",226.9,"204.2 - 242.8 (644)",14514
30055,"""McCone, (MT)""",204.8,"204.2 - 242.8 (644)",34993
30057,"""Madison, (MT)""",120.6,"26.6 - 148.6 (644)",19055
30059,"""Meagher, (MT)""",155.8,"148.7 - 175.5 (644)",18039
30061,"""Mineral, (MT)""",196.3,"175.6 - 204.1 (644)",16643
30063,"""Missoula, (MT)""",181.6,"175.6 - 204.1 (644)",16674
30065,"""Musselshell, (MT)""",178.7,"175.6 - 204.1 (644)",22065
30067,"""Park, (MT)""",131.8,"26.6 - 148.6 (644)",18789
30069,"""Petroleum, (MT)""",242.9,"242.9 - 651.5 (644)",-9999
30071,"""Phillips, (MT)""",155.5,"148.7 - 175.5 (644)",15703
30073,"""Pondera, (MT)""",157.8,"148.7 - 175.5 (644)",16645
30075,"""Powder River, (MT)""",232,"204.2 - 242.8 (644)",13310
30077,"""Powell, (MT)""",171.5,"148.7 - 175.5 (644)",18985
30079,"""Prairie, (MT)""",125.2,"26.6 - 148.6 (644)",13963
30081,"""Ravalli, (MT)""",119,"26.6 - 148.6 (644)",16693
