"cnty_fips","display_name","Value","theme_range","ou_cost"
41011,"""Coos, (OR)""",171.1,"148.7 - 175.5 (644)",4338
41013,"""Crook, (OR)""",162,"148.7 - 175.5 (644)",4904
41015,"""Curry, (OR)""",169.7,"148.7 - 175.5 (644)",4944
41017,"""Deschutes, (OR)""",131.4,"26.6 - 148.6 (644)",2349
41019,"""Douglas, (OR)""",153.8,"148.7 - 175.5 (644)",3404
41021,"""Gilliam, (OR)""",132.3,"26.6 - 148.6 (644)",4633
41027,"""Hood River, (OR)""",120.8,"26.6 - 148.6 (644)",5509
41029,"""Jackson, (OR)""",110.3,"26.6 - 148.6 (644)",2931
41031,"""Jefferson, (OR)""",155.2,"148.7 - 175.5 (644)",4356
41033,"""Josephine, (OR)""",119.2,"26.6 - 148.6 (644)",2617
41035,"""Klamath, (OR)""",149.7,"148.7 - 175.5 (644)",3964
41037,"""Lake, (OR)""",155.7,"148.7 - 175.5 (644)",5219
41039,"""Lane, (OR)""",110.5,"26.6 - 148.6 (644)",3029
41041,"""Lincoln, (OR)""",121.7,"26.6 - 148.6 (644)",6685
41043,"""Linn, (OR)""",164.3,"148.7 - 175.5 (644)",5506
41047,"""Marion, (OR)""",124.2,"26.6 - 148.6 (644)",3180
41051,"""Multnomah, (OR)""",124.5,"26.6 - 148.6 (644)",3681
41053,"""Polk, (OR)""",103.5,"26.6 - 148.6 (644)",3707
41055,"""Sherman, (OR)""",148.4,"26.6 - 148.6 (644)",6383
41057,"""Tillamook, (OR)""",127.8,"26.6 - 148.6 (644)",7683
41065,"""Wasco, (OR)""",134.9,"26.6 - 148.6 (644)",5121
41067,"""Washington, (OR)""",98.5,"26.6 - 148.6 (644)",3722
41069,"""Wheeler, (OR)""",164.2,"148.7 - 175.5 (644)",3357
41071,"""Yamhill, (OR)""",136.6,"26.6 - 148.6 (644)",3721
53007,"""Chelan, (WA)""",126.3,"26.6 - 148.6 (644)",5902
53009,"""Clallam, (WA)""",141.2,"26.6 - 148.6 (644)",4392
53011,"""Clark, (WA)""",132.4,"26.6 - 148.6 (644)",3443
53015,"""Cowlitz, (WA)""",197.6,"175.6 - 204.1 (644)",3837
53027,"""Grays Harbor, (WA)""",179.1,"175.6 - 204.1 (644)",3926
53029,"""Island, (WA)""",149.2,"148.7 - 175.5 (644)",5373
53031,"""Jefferson, (WA)""",146.6,"26.6 - 148.6 (644)",5742
53033,"""King, (WA)""",133.1,"26.6 - 148.6 (644)",3763
53035,"""Kitsap, (WA)""",159.7,"148.7 - 175.5 (644)",3450
53037,"""Kittitas, (WA)""",152.8,"148.7 - 175.5 (644)",6317
53039,"""Klickitat, (WA)""",129,"26.6 - 148.6 (644)",6759
53041,"""Lewis, (WA)""",209.3,"204.2 - 242.8 (644)",3950
53045,"""Mason, (WA)""",146.9,"26.6 - 148.6 (644)",5156
53047,"""Okanogan, (WA)""",170.5,"148.7 - 175.5 (644)",6503
53049,"""Pacific, (WA)""",296.5,"242.9 - 651.5 (644)",6987
53053,"""Pierce, (WA)""",195.8,"175.6 - 204.1 (644)",3108
53055,"""San Juan, (WA)""",104.5,"26.6 - 148.6 (644)",6291
53057,"""Skagit, (WA)""",141.7,"26.6 - 148.6 (644)",5292
