"cnty_fips","display_name","Value","theme_range","total_inc"
35015,"""Eddy, (NM)""",277.4,"242.9 - 651.5 (644)",13755
35019,"""Guadalupe, (NM)""",251.4,"242.9 - 651.5 (644)",12767
35021,"""Harding, (NM)""",201.5,"175.6 - 204.1 (644)",12287
35025,"""Lea, (NM)""",280.9,"242.9 - 651.5 (644)",14630
35027,"""Lincoln, (NM)""",174.3,"148.7 - 175.5 (644)",13336
35028,"""Los Alamos, (NM)""",144.8,"26.6 - 148.6 (644)",6858
35033,"""Mora, (NM)""",138.3,"26.6 - 148.6 (644)",6991
35035,"""Otero, (NM)""",207.5,"204.2 - 242.8 (644)",11624
35037,"""Quay, (NM)""",245.1,"242.9 - 651.5 (644)",12116
35039,"""Rio Arriba, (NM)""",147.6,"26.6 - 148.6 (644)",12753
35041,"""Roosevelt, (NM)""",274.2,"242.9 - 651.5 (644)",14177
35047,"""San Miguel, (NM)""",212,"204.2 - 242.8 (644)",13626
35049,"""Santa Fe, (NM)""",138.8,"26.6 - 148.6 (644)",9788
35055,"""Taos, (NM)""",142.4,"26.6 - 148.6 (644)",10682
35057,"""Torrance, (NM)""",195.7,"175.6 - 204.1 (644)",12903
35059,"""Union, (NM)""",191.2,"175.6 - 204.1 (644)",16886
40001,"""Adair, (OK)""",317.2,"242.9 - 651.5 (644)",16880
40003,"""Alfalfa, (OK)""",238.6,"204.2 - 242.8 (644)",12663
40005,"""Atoka, (OK)""",322.3,"242.9 - 651.5 (644)",18405
40007,"""Beaver, (OK)""",301.6,"242.9 - 651.5 (644)",15792
40009,"""Beckham, (OK)""",238.8,"204.2 - 242.8 (644)",11877
40011,"""Blaine, (OK)""",232.6,"204.2 - 242.8 (644)",14804
40013,"""Bryan, (OK)""",204.6,"204.2 - 242.8 (644)",16790
40015,"""Caddo, (OK)""",270.8,"242.9 - 651.5 (644)",18441
40017,"""Canadian, (OK)""",186.1,"175.6 - 204.1 (644)",11729
40019,"""Carter, (OK)""",296.1,"242.9 - 651.5 (644)",14983
40021,"""Cherokee, (OK)""",281.8,"242.9 - 651.5 (644)",15123
40023,"""Choctaw, (OK)""",349.2,"242.9 - 651.5 (644)",16757
40025,"""Cimarron, (OK)""",242.3,"204.2 - 242.8 (644)",18999
40027,"""Cleveland, (OK)""",194.5,"175.6 - 204.1 (644)",12545
40029,"""Coal, (OK)""",400,"242.9 - 651.5 (644)",17904
40031,"""Comanche, (OK)""",240.1,"204.2 - 242.8 (644)",12091
40033,"""Cotton, (OK)""",230.4,"204.2 - 242.8 (644)",14574
40035,"""Craig, (OK)""",346.9,"242.9 - 651.5 (644)",16111
40037,"""Creek, (OK)""",215.4,"204.2 - 242.8 (644)",14586
40039,"""Custer, (OK)""",253.1,"242.9 - 651.5 (644)",11888
40041,"""Delaware, (OK)""",241.8,"204.2 - 242.8 (644)",14150
40043,"""Dewey, (OK)""",279,"242.9 - 651.5 (644)",13843
40045,"""Ellis, (OK)""",295.3,"242.9 - 651.5 (644)",10013
40047,"""Garfield, (OK)""",240.4,"204.2 - 242.8 (644)",12983
40049,"""Garvin, (OK)""",283.3,"242.9 - 651.5 (644)",15028
40051,"""Grady, (OK)""",257.5,"242.9 - 651.5 (644)",12531
40053,"""Grant, (OK)""",237.6,"204.2 - 242.8 (644)",13756
40055,"""Greer, (OK)""",235.1,"204.2 - 242.8 (644)",14145
40057,"""Harmon, (OK)""",236.4,"204.2 - 242.8 (644)",20112
40059,"""Harper, (OK)""",292.3,"242.9 - 651.5 (644)",9952
40061,"""Haskell, (OK)""",340.6,"242.9 - 651.5 (644)",17774
40063,"""Hughes, (OK)""",421,"242.9 - 651.5 (644)",14697
40065,"""Jackson, (OK)""",230.9,"204.2 - 242.8 (644)",14651
40067,"""Jefferson, (OK)""",338.4,"242.9 - 651.5 (644)",15928
40069,"""Johnston, (OK)""",260.2,"242.9 - 651.5 (644)",17280
40071,"""Kay, (OK)""",238.1,"204.2 - 242.8 (644)",13656
40073,"""Kingfisher, (OK)""",196.4,"175.6 - 204.1 (644)",15107
40075,"""Kiowa, (OK)""",253.1,"242.9 - 651.5 (644)",12459
40077,"""Latimer, (OK)""",320.3,"242.9 - 651.5 (644)",18478
40079,"""Le Flore, (OK)""",317.7,"242.9 - 651.5 (644)",16890
40081,"""Lincoln, (OK)""",237.8,"204.2 - 242.8 (644)",13704
40083,"""Logan, (OK)""",195,"175.6 - 204.1 (644)",13163
40085,"""Love, (OK)""",203.8,"175.6 - 204.1 (644)",16879
40087,"""McClain, (OK)""",231.4,"204.2 - 242.8 (644)",13292
40089,"""McCurtain, (OK)""",354.5,"242.9 - 651.5 (644)",15613
40091,"""McIntosh, (OK)""",352.6,"242.9 - 651.5 (644)",14194
40093,"""Major, (OK)""",263.8,"242.9 - 651.5 (644)",11569
40095,"""Marshall, (OK)""",205,"204.2 - 242.8 (644)",16524
40097,"""Mayes, (OK)""",255.1,"242.9 - 651.5 (644)",15760
40099,"""Murray, (OK)""",291.8,"242.9 - 651.5 (644)",15715
40101,"""Muskogee, (OK)""",348.8,"242.9 - 651.5 (644)",17983
40103,"""Noble, (OK)""",231.3,"204.2 - 242.8 (644)",9621
40105,"""Nowata, (OK)""",221.6,"204.2 - 242.8 (644)",17172
40107,"""Okfuskee, (OK)""",328.9,"242.9 - 651.5 (644)",13709
40109,"""Oklahoma, (OK)""",223.1,"204.2 - 242.8 (644)",13158
40111,"""Okmulgee, (OK)""",303.4,"242.9 - 651.5 (644)",15869
40113,"""Osage, (OK)""",206.7,"204.2 - 242.8 (644)",15581
40115,"""Ottawa, (OK)""",337.5,"242.9 - 651.5 (644)",14418
40117,"""Pawnee, (OK)""",234.3,"204.2 - 242.8 (644)",17756
40119,"""Payne, (OK)""",196.9,"175.6 - 204.1 (644)",12375
40121,"""Pittsburg, (OK)""",337.2,"242.9 - 651.5 (644)",14708
40123,"""Pontotoc, (OK)""",285.2,"242.9 - 651.5 (644)",13258
40125,"""Pottawatomie, (OK)""",293.1,"242.9 - 651.5 (644)",12964
40127,"""Pushmataha, (OK)""",331.4,"242.9 - 651.5 (644)",15301
40129,"""Roger Mills, (OK)""",245.9,"242.9 - 651.5 (644)",10784
40131,"""Rogers, (OK)""",244.7,"242.9 - 651.5 (644)",14496
40133,"""Seminole, (OK)""",378.1,"242.9 - 651.5 (644)",16027
40135,"""Sequoyah, (OK)""",319.7,"242.9 - 651.5 (644)",17129
40137,"""Stephens, (OK)""",290.8,"242.9 - 651.5 (644)",12179
40139,"""Texas, (OK)""",252.6,"242.9 - 651.5 (644)",14119
40141,"""Tillman, (OK)""",238.5,"204.2 - 242.8 (644)",16325
40143,"""Tulsa, (OK)""",222.9,"204.2 - 242.8 (644)",15511
40145,"""Wagoner, (OK)""",213.4,"204.2 - 242.8 (644)",15638
40147,"""Washington, (OK)""",212.4,"204.2 - 242.8 (644)",11171
40149,"""Washita, (OK)""",267.7,"242.9 - 651.5 (644)",13389
40151,"""Woods, (OK)""",265.4,"242.9 - 651.5 (644)",10215
40153,"""Woodward, (OK)""",296.9,"242.9 - 651.5 (644)",12860
46003,"""Aurora, (SD)""",202.2,"175.6 - 204.1 (644)",9794
46005,"""Beadle, (SD)""",200.5,"175.6 - 204.1 (644)",11944
46007,"""Bennett, (SD)""",300.1,"242.9 - 651.5 (644)",18339
46009,"""Bon Homme, (SD)""",188.9,"175.6 - 204.1 (644)",14995
46011,"""Brookings, (SD)""",201.7,"175.6 - 204.1 (644)",11134
46015,"""Brule, (SD)""",272.7,"242.9 - 651.5 (644)",11357
46017,"""Buffalo, (SD)""",310.3,"242.9 - 651.5 (644)",18200
46023,"""Charles Mix, (SD)""",230,"204.2 - 242.8 (644)",13166
46027,"""Clay, (SD)""",260.2,"242.9 - 651.5 (644)",11137
46033,"""Custer, (SD)""",164.4,"148.7 - 175.5 (644)",10668
46035,"""Davison, (SD)""",141.3,"26.6 - 148.6 (644)",12036
46043,"""Douglas, (SD)""",137.3,"26.6 - 148.6 (644)",11941
46047,"""Fall River, (SD)""",258,"242.9 - 651.5 (644)",15490
46053,"""Gregory, (SD)""",247.6,"242.9 - 651.5 (644)",19427
46055,"""Haakon, (SD)""",206.7,"204.2 - 242.8 (644)",9368
46059,"""Hand, (SD)""",205.8,"204.2 - 242.8 (644)",17333
46061,"""Hanson, (SD)""",153.3,"148.7 - 175.5 (644)",10344
46065,"""Hughes, (SD)""",178.4,"175.6 - 204.1 (644)",9043
46067,"""Hutchinson, (SD)""",194.3,"175.6 - 204.1 (644)",15669
46069,"""Hyde, (SD)""",218.9,"204.2 - 242.8 (644)",10510
46071,"""Jackson, (SD)""",251.8,"242.9 - 651.5 (644)",20450
46073,"""Jerauld, (SD)""",236.1,"204.2 - 242.8 (644)",17573
46075,"""Jones, (SD)""",224.9,"204.2 - 242.8 (644)",11992
46077,"""Kingsbury, (SD)""",195.1,"175.6 - 204.1 (644)",12009
46079,"""Lake, (SD)""",194.8,"175.6 - 204.1 (644)",10910
46081,"""Lawrence, (SD)""",149.7,"148.7 - 175.5 (644)",10150
46083,"""Lincoln, (SD)""",126.3,"26.6 - 148.6 (644)",11751
46085,"""Lyman, (SD)""",225.8,"204.2 - 242.8 (644)",8448
46087,"""McCook, (SD)""",195.6,"175.6 - 204.1 (644)",16145
46093,"""Meade, (SD)""",201.2,"175.6 - 204.1 (644)",12008
46095,"""Mellette, (SD)""",287.2,"242.9 - 651.5 (644)",19769
46097,"""Miner, (SD)""",200,"175.6 - 204.1 (644)",10666
46099,"""Minnehaha, (SD)""",175.9,"175.6 - 204.1 (644)",11782
46101,"""Moody, (SD)""",193.1,"175.6 - 204.1 (644)",8376
46103,"""Pennington, (SD)""",212.8,"204.2 - 242.8 (644)",11809
46111,"""Sanborn, (SD)""",172.1,"148.7 - 175.5 (644)",4099
46102,"""Oglala Lakota, (SD)""",81.7,"26.6 - 148.6 (644)",24867
46117,"""Stanley, (SD)""",160.3,"148.7 - 175.5 (644)",8030
46121,"""Todd, (SD)""",312.3,"242.9 - 651.5 (644)",23847
46123,"""Tripp, (SD)""",251.4,"242.9 - 651.5 (644)",12021
46125,"""Turner, (SD)""",233.5,"204.2 - 242.8 (644)",10130
46127,"""Union, (SD)""",121.4,"26.6 - 148.6 (644)",11013
46135,"""Yankton, (SD)""",205.4,"204.2 - 242.8 (644)",9726
48003,"""Andrews, (TX)""",293.3,"242.9 - 651.5 (644)",15785
48009,"""Archer, (TX)""",236.4,"204.2 - 242.8 (644)",12507
48011,"""Armstrong, (TX)""",284.5,"242.9 - 651.5 (644)",10647
48017,"""Bailey, (TX)""",227.7,"204.2 - 242.8 (644)",14906
48023,"""Baylor, (TX)""",245.2,"242.9 - 651.5 (644)",19488
48033,"""Borden, (TX)""",211.9,"204.2 - 242.8 (644)",9684
48037,"""Bowie, (TX)""",348.3,"242.9 - 651.5 (644)",16496
48045,"""Briscoe, (TX)""",177.6,"175.6 - 204.1 (644)",13776
48059,"""Callahan, (TX)""",272.7,"242.9 - 651.5 (644)",15829
48063,"""Camp, (TX)""",251.3,"242.9 - 651.5 (644)",15511
48065,"""Carson, (TX)""",306.8,"242.9 - 651.5 (644)",16303
48067,"""Cass, (TX)""",310.3,"242.9 - 651.5 (644)",15936
48069,"""Castro, (TX)""",245.3,"242.9 - 651.5 (644)",16354
48075,"""Childress, (TX)""",271.7,"242.9 - 651.5 (644)",17251
48077,"""Clay, (TX)""",230.2,"204.2 - 242.8 (644)",17687
48079,"""Cochran, (TX)""",246.8,"242.9 - 651.5 (644)",11732
48085,"""Collin, (TX)""",129.8,"26.6 - 148.6 (644)",13598
48087,"""Collingsworth, (TX)""",329.9,"242.9 - 651.5 (644)",18095
48097,"""Cooke, (TX)""",157.6,"148.7 - 175.5 (644)",15068
48101,"""Cottle, (TX)""",243.6,"242.9 - 651.5 (644)",23138
48107,"""Crosby, (TX)""",233.1,"204.2 - 242.8 (644)",17271
48111,"""Dallam, (TX)""",216.7,"204.2 - 242.8 (644)",18825
48113,"""Dallas, (TX)""",168.8,"148.7 - 175.5 (644)",17203
48115,"""Dawson, (TX)""",238.3,"204.2 - 242.8 (644)",15492
48117,"""Deaf Smith, (TX)""",230,"204.2 - 242.8 (644)",13562
48119,"""Delta, (TX)""",342.9,"242.9 - 651.5 (644)",14049
48121,"""Denton, (TX)""",118.1,"26.6 - 148.6 (644)",14338
48125,"""Dickens, (TX)""",172.5,"148.7 - 175.5 (644)",20918
48129,"""Donley, (TX)""",254.9,"242.9 - 651.5 (644)",17261
48133,"""Eastland, (TX)""",206.7,"204.2 - 242.8 (644)",17070
48139,"""Ellis, (TX)""",168.9,"148.7 - 175.5 (644)",15308
48143,"""Erath, (TX)""",258.6,"242.9 - 651.5 (644)",13841
48147,"""Fannin, (TX)""",348.3,"242.9 - 651.5 (644)",16240
48151,"""Fisher, (TX)""",250.2,"242.9 - 651.5 (644)",15096
48153,"""Floyd, (TX)""",233.5,"204.2 - 242.8 (644)",15673
48155,"""Foard, (TX)""",218.7,"204.2 - 242.8 (644)",21859
48159,"""Franklin, (TX)""",282.1,"242.9 - 651.5 (644)",14116
48165,"""Gaines, (TX)""",258.1,"242.9 - 651.5 (644)",15362
48169,"""Garza, (TX)""",226.9,"204.2 - 242.8 (644)",17966
48179,"""Gray, (TX)""",365.9,"242.9 - 651.5 (644)",14711
48181,"""Grayson, (TX)""",196.5,"175.6 - 204.1 (644)",16615
48183,"""Gregg, (TX)""",241.5,"204.2 - 242.8 (644)",16425
48189,"""Hale, (TX)""",234.8,"204.2 - 242.8 (644)",16438
48191,"""Hall, (TX)""",201.1,"175.6 - 204.1 (644)",15786
48195,"""Hansford, (TX)""",219.2,"204.2 - 242.8 (644)",12328
48197,"""Hardeman, (TX)""",233.6,"204.2 - 242.8 (644)",14275
48203,"""Harrison, (TX)""",212.5,"204.2 - 242.8 (644)",15275
48205,"""Hartley, (TX)""",247.4,"242.9 - 651.5 (644)",17852
48207,"""Haskell, (TX)""",269.9,"242.9 - 651.5 (644)",17185
48211,"""Hemphill, (TX)""",278.3,"242.9 - 651.5 (644)",8527
48213,"""Henderson, (TX)""",285.6,"242.9 - 651.5 (644)",15007
48219,"""Hockley, (TX)""",186.9,"175.6 - 204.1 (644)",15394
48221,"""Hood, (TX)""",183.6,"175.6 - 204.1 (644)",13727
48223,"""Hopkins, (TX)""",283.7,"242.9 - 651.5 (644)",15431
48227,"""Howard, (TX)""",353.9,"242.9 - 651.5 (644)",16338
48231,"""Hunt, (TX)""",249.9,"242.9 - 651.5 (644)",17524
48233,"""Hutchinson, (TX)""",431,"242.9 - 651.5 (644)",15514
48237,"""Jack, (TX)""",239.6,"204.2 - 242.8 (644)",14216
48251,"""Johnson, (TX)""",221.6,"204.2 - 242.8 (644)",15081
48253,"""Jones, (TX)""",277.1,"242.9 - 651.5 (644)",15280
48257,"""Kaufman, (TX)""",243.6,"242.9 - 651.5 (644)",17304
48263,"""Kent, (TX)""",190.4,"175.6 - 204.1 (644)",14850
48269,"""King, (TX)""",208,"204.2 - 242.8 (644)",-9999
48275,"""Knox, (TX)""",247.2,"242.9 - 651.5 (644)",16283
48277,"""Lamar, (TX)""",359.5,"242.9 - 651.5 (644)",14193
48279,"""Lamb, (TX)""",239.4,"204.2 - 242.8 (644)",12307
48295,"""Lipscomb, (TX)""",245.1,"242.9 - 651.5 (644)",11014
48303,"""Lubbock, (TX)""",238.6,"204.2 - 242.8 (644)",14556
48305,"""Lynn, (TX)""",226.3,"204.2 - 242.8 (644)",23408
48315,"""Marion, (TX)""",233,"204.2 - 242.8 (644)",19046
48317,"""Martin, (TX)""",256.6,"242.9 - 651.5 (644)",19520
48335,"""Mitchell, (TX)""",202.6,"175.6 - 204.1 (644)",21996
48337,"""Montague, (TX)""",262.2,"242.9 - 651.5 (644)",16363
48341,"""Moore, (TX)""",243.4,"242.9 - 651.5 (644)",15884
48343,"""Morris, (TX)""",279.6,"242.9 - 651.5 (644)",19111
48345,"""Motley, (TX)""",178.9,"175.6 - 204.1 (644)",13870
48353,"""Nolan, (TX)""",247.8,"242.9 - 651.5 (644)",15067
48357,"""Ochiltree, (TX)""",382.7,"242.9 - 651.5 (644)",12773
48359,"""Oldham, (TX)""",226.5,"204.2 - 242.8 (644)",11912
48363,"""Palo Pinto, (TX)""",307.9,"242.9 - 651.5 (644)",15357
48365,"""Panola, (TX)""",199.2,"175.6 - 204.1 (644)",18569
48367,"""Parker, (TX)""",188.2,"175.6 - 204.1 (644)",15792
48369,"""Parmer, (TX)""",218.5,"204.2 - 242.8 (644)",11546
48375,"""Potter, (TX)""",342.6,"242.9 - 651.5 (644)",15598
48379,"""Rains, (TX)""",242.2,"204.2 - 242.8 (644)",17437
48381,"""Randall, (TX)""",258.1,"242.9 - 651.5 (644)",12573
48387,"""Red River, (TX)""",368.1,"242.9 - 651.5 (644)",13739
48393,"""Roberts, (TX)""",334.2,"242.9 - 651.5 (644)",12298
48397,"""Rockwall, (TX)""",188.5,"175.6 - 204.1 (644)",14909
48401,"""Rusk, (TX)""",215.3,"204.2 - 242.8 (644)",16259
48415,"""Scurry, (TX)""",175.8,"175.6 - 204.1 (644)",14330
48417,"""Shackelford, (TX)""",254.3,"242.9 - 651.5 (644)",14029
48421,"""Sherman, (TX)""",270,"242.9 - 651.5 (644)",13142
48423,"""Smith, (TX)""",209,"204.2 - 242.8 (644)",14006
48425,"""Somervell, (TX)""",202.3,"175.6 - 204.1 (644)",15235
48429,"""Stephens, (TX)""",268.7,"242.9 - 651.5 (644)",16317
48433,"""Stonewall, (TX)""",273.8,"242.9 - 651.5 (644)",19591
48437,"""Swisher, (TX)""",248.3,"242.9 - 651.5 (644)",14403
48439,"""Tarrant, (TX)""",157.9,"148.7 - 175.5 (644)",16415
48441,"""Taylor, (TX)""",276.9,"242.9 - 651.5 (644)",15392
48445,"""Terry, (TX)""",302.9,"242.9 - 651.5 (644)",16989
48447,"""Throckmorton, (TX)""",251,"242.9 - 651.5 (644)",15078
48449,"""Titus, (TX)""",240.8,"204.2 - 242.8 (644)",16661
48459,"""Upshur, (TX)""",281.4,"242.9 - 651.5 (644)",14607
48467,"""Van Zandt, (TX)""",218.7,"204.2 - 242.8 (644)",16214
48483,"""Wheeler, (TX)""",279.7,"242.9 - 651.5 (644)",17945
48485,"""Wichita, (TX)""",245.4,"242.9 - 651.5 (644)",15505
48487,"""Wilbarger, (TX)""",240,"204.2 - 242.8 (644)",13796
48497,"""Wise, (TX)""",182.3,"175.6 - 204.1 (644)",17464
48499,"""Wood, (TX)""",227.7,"204.2 - 242.8 (644)",14389
48501,"""Yoakum, (TX)""",251.5,"242.9 - 651.5 (644)",19522
48503,"""Young, (TX)""",284.5,"242.9 - 651.5 (644)",17298
56001,"""Albany, (WY)""",139,"26.6 - 148.6 (644)",12978
56005,"""Campbell, (WY)""",269.6,"242.9 - 651.5 (644)",11916
56009,"""Converse, (WY)""",151.4,"148.7 - 175.5 (644)",15236
56011,"""Crook, (WY)""",228.9,"204.2 - 242.8 (644)",12750
56015,"""Goshen, (WY)""",157.7,"148.7 - 175.5 (644)",14007
56019,"""Johnson, (WY)""",191,"175.6 - 204.1 (644)",12160
56021,"""Laramie, (WY)""",155.7,"148.7 - 175.5 (644)",15498
56027,"""Niobrara, (WY)""",156.7,"148.7 - 175.5 (644)",16314
56031,"""Platte, (WY)""",156.1,"148.7 - 175.5 (644)",15656
56045,"""Weston, (WY)""",200.9,"175.6 - 204.1 (644)",12576
16003,"""Adams, (ID)""",128.8,"26.6 - 148.6 (644)",11183
16009,"""Benewah, (ID)""",204.1,"175.6 - 204.1 (644)",12078
16017,"""Bonner, (ID)""",148.8,"148.7 - 175.5 (644)",10870
16021,"""Boundary, (ID)""",160,"148.7 - 175.5 (644)",13552
16035,"""Clearwater, (ID)""",176.3,"175.6 - 204.1 (644)",11750
16049,"""Idaho, (ID)""",121.5,"26.6 - 148.6 (644)",13159
16055,"""Kootenai, (ID)""",185.6,"175.6 - 204.1 (644)",10218
16057,"""Latah, (ID)""",148,"26.6 - 148.6 (644)",11845
16059,"""Lemhi, (ID)""",112.4,"26.6 - 148.6 (644)",9749
16061,"""Lewis, (ID)""",130.8,"26.6 - 148.6 (644)",10884
16069,"""Nez Perce, (ID)""",136.8,"26.6 - 148.6 (644)",11778
16079,"""Shoshone, (ID)""",205.4,"204.2 - 242.8 (644)",12358
16085,"""Valley, (ID)""",88.2,"26.6 - 148.6 (644)",13921
27005,"""Becker, (MN)""",125.2,"26.6 - 148.6 (644)",14953
27007,"""Beltrami, (MN)""",140.7,"26.6 - 148.6 (644)",12457
27009,"""Benton, (MN)""",107.3,"26.6 - 148.6 (644)",12566
27011,"""Big Stone, (MN)""",191.4,"175.6 - 204.1 (644)",17364
27019,"""Carver, (MN)""",82.6,"26.6 - 148.6 (644)",10405
27021,"""Cass, (MN)""",130.3,"26.6 - 148.6 (644)",12627
27023,"""Chippewa, (MN)""",150.5,"148.7 - 175.5 (644)",15981
27027,"""Clay, (MN)""",139.5,"26.6 - 148.6 (644)",12615
27029,"""Clearwater, (MN)""",139.6,"26.6 - 148.6 (644)",18384
27035,"""Crow Wing, (MN)""",120.9,"26.6 - 148.6 (644)",14055
27041,"""Douglas, (MN)""",125.3,"26.6 - 148.6 (644)",15397
27051,"""Grant, (MN)""",173.9,"148.7 - 175.5 (644)",17996
27057,"""Hubbard, (MN)""",129.8,"26.6 - 148.6 (644)",14316
27061,"""Itasca, (MN)""",136.4,"26.6 - 148.6 (644)",13319
27067,"""Kandiyohi, (MN)""",97.9,"26.6 - 148.6 (644)",14233
27069,"""Kittson, (MN)""",182.7,"175.6 - 204.1 (644)",14030
27071,"""Koochiching, (MN)""",135,"26.6 - 148.6 (644)",11017
27073,"""Lac qui Parle, (MN)""",183.6,"175.6 - 204.1 (644)",9635
27077,"""Lake of the Woods, (MN)""",164.1,"148.7 - 175.5 (644)",21544
27085,"""McLeod, (MN)""",119.1,"26.6 - 148.6 (644)",13047
27087,"""Mahnomen, (MN)""",201.7,"175.6 - 204.1 (644)",12451
27089,"""Marshall, (MN)""",173.4,"148.7 - 175.5 (644)",13871
27093,"""Meeker, (MN)""",118.9,"26.6 - 148.6 (644)",13351
27097,"""Morrison, (MN)""",104.9,"26.6 - 148.6 (644)",13471
27107,"""Norman, (MN)""",193.6,"175.6 - 204.1 (644)",12828
27111,"""Otter Tail, (MN)""",178.3,"175.6 - 204.1 (644)",10779
27113,"""Pennington, (MN)""",187.5,"175.6 - 204.1 (644)",15160
27119,"""Polk, (MN)""",185.7,"175.6 - 204.1 (644)",13483
27121,"""Pope, (MN)""",119.7,"26.6 - 148.6 (644)",12983
27125,"""Red Lake, (MN)""",193.1,"175.6 - 204.1 (644)",13557
27129,"""Renville, (MN)""",120.5,"26.6 - 148.6 (644)",17298
27135,"""Roseau, (MN)""",173.6,"148.7 - 175.5 (644)",14284
27141,"""Sherburne, (MN)""",99.2,"26.6 - 148.6 (644)",15710
27145,"""Stearns, (MN)""",97.3,"26.6 - 148.6 (644)",12551
27149,"""Stevens, (MN)""",134.4,"26.6 - 148.6 (644)",22719
27151,"""Swift, (MN)""",177,"175.6 - 204.1 (644)",17703
27153,"""Todd, (MN)""",107.7,"26.6 - 148.6 (644)",18676
27155,"""Traverse, (MN)""",192.4,"175.6 - 204.1 (644)",12538
27159,"""Wadena, (MN)""",147.5,"26.6 - 148.6 (644)",17877
27167,"""Wilkin, (MN)""",177.1,"175.6 - 204.1 (644)",14905
27171,"""Wright, (MN)""",103.5,"26.6 - 148.6 (644)",14007
27173,"""Yellow Medicine, (MN)""",145.6,"26.6 - 148.6 (644)",18793
30001,"""Beaverhead, (MT)""",166.8,"148.7 - 175.5 (644)",10889
30003,"""Big Horn, (MT)""",163,"148.7 - 175.5 (644)",15144
30005,"""Blaine, (MT)""",254.1,"242.9 - 651.5 (644)",15451
30007,"""Broadwater, (MT)""",190.9,"175.6 - 204.1 (644)",9570
30009,"""Carbon, (MT)""",117.7,"26.6 - 148.6 (644)",13631
30011,"""Carter, (MT)""",206.8,"204.2 - 242.8 (644)",15591
30013,"""Cascade, (MT)""",161.9,"148.7 - 175.5 (644)",12568
30015,"""Chouteau, (MT)""",203.9,"175.6 - 204.1 (644)",11545
30017,"""Custer, (MT)""",164.7,"148.7 - 175.5 (644)",11090
30019,"""Daniels, (MT)""",242.7,"204.2 - 242.8 (644)",14343
30021,"""Dawson, (MT)""",97.1,"26.6 - 148.6 (644)",11994
30023,"""Deer Lodge, (MT)""",226.9,"204.2 - 242.8 (644)",14238
30025,"""Fallon, (MT)""",161.7,"148.7 - 175.5 (644)",15752
30027,"""Fergus, (MT)""",163,"148.7 - 175.5 (644)",13348
30029,"""Flathead, (MT)""",156.1,"148.7 - 175.5 (644)",10779
30031,"""Gallatin, (MT)""",123.7,"26.6 - 148.6 (644)",11597
30033,"""Garfield, (MT)""",188,"175.6 - 204.1 (644)",16820
30035,"""Glacier, (MT)""",233.5,"204.2 - 242.8 (644)",12095
30037,"""Golden Valley, (MT)""",169.7,"148.7 - 175.5 (644)",6172
30039,"""Granite, (MT)""",157,"148.7 - 175.5 (644)",11643
30041,"""Hill, (MT)""",251.1,"242.9 - 651.5 (644)",11197
30043,"""Jefferson, (MT)""",172.2,"148.7 - 175.5 (644)",10623
30045,"""Judith Basin, (MT)""",165.5,"148.7 - 175.5 (644)",12052
30047,"""Lake, (MT)""",175.9,"175.6 - 204.1 (644)",11784
30049,"""Lewis and Clark, (MT)""",147,"26.6 - 148.6 (644)",10179
30051,"""Liberty, (MT)""",181.9,"175.6 - 204.1 (644)",16679
30053,"""Lincoln, (MT)""",226.9,"204.2 - 242.8 (644)",9323
30055,"""McCone, (MT)""",204.8,"204.2 - 242.8 (644)",28996
30057,"""Madison, (MT)""",120.6,"26.6 - 148.6 (644)",13620
30059,"""Meagher, (MT)""",155.8,"148.7 - 175.5 (644)",11420
30061,"""Mineral, (MT)""",196.3,"175.6 - 204.1 (644)",10073
30063,"""Missoula, (MT)""",181.6,"175.6 - 204.1 (644)",10871
30065,"""Musselshell, (MT)""",178.7,"175.6 - 204.1 (644)",15760
30067,"""Park, (MT)""",131.8,"26.6 - 148.6 (644)",12290
30069,"""Petroleum, (MT)""",242.9,"242.9 - 651.5 (644)",-9999
30071,"""Phillips, (MT)""",155.5,"148.7 - 175.5 (644)",9091
30073,"""Pondera, (MT)""",157.8,"148.7 - 175.5 (644)",11351
30075,"""Powder River, (MT)""",232,"204.2 - 242.8 (644)",10251
30077,"""Powell, (MT)""",171.5,"148.7 - 175.5 (644)",12151
30079,"""Prairie, (MT)""",125.2,"26.6 - 148.6 (644)",9888
30081,"""Ravalli, (MT)""",119,"26.6 - 148.6 (644)",10813
30083,"""Richland, (MT)""",149.7,"148.7 - 175.5 (644)",11631
30085,"""Roosevelt, (MT)""",251.1,"242.9 - 651.5 (644)",14376
30087,"""Rosebud, (MT)""",191.5,"175.6 - 204.1 (644)",15898
30089,"""Sanders, (MT)""",209.1,"204.2 - 242.8 (644)",10801
30091,"""Sheridan, (MT)""",154.8,"148.7 - 175.5 (644)",7748
30093,"""Silver Bow, (MT)""",248.6,"242.9 - 651.5 (644)",12912
30095,"""Stillwater, (MT)""",165.1,"148.7 - 175.5 (644)",13148
30097,"""Sweet Grass, (MT)""",168.4,"148.7 - 175.5 (644)",7587
30099,"""Teton, (MT)""",159,"148.7 - 175.5 (644)",9480
30101,"""Toole, (MT)""",182.6,"175.6 - 204.1 (644)",11756
30103,"""Treasure, (MT)""",169.7,"148.7 - 175.5 (644)",5377
30105,"""Valley, (MT)""",250.8,"242.9 - 651.5 (644)",15212
30107,"""Wheatland, (MT)""",173.8,"148.7 - 175.5 (644)",21577
30109,"""Wibaux, (MT)""",139.2,"26.6 - 148.6 (644)",6439
