"cnty_fips","display_name","Value","theme_range","pac_inc"
41011,"""Coos, (OR)""",171.1,"148.7 - 175.5 (644)",1436
41013,"""Crook, (OR)""",162,"148.7 - 175.5 (644)",933
41015,"""Curry, (OR)""",169.7,"148.7 - 175.5 (644)",1503
41017,"""Deschutes, (OR)""",131.4,"26.6 - 148.6 (644)",1052
41019,"""Douglas, (OR)""",153.8,"148.7 - 175.5 (644)",1202
41021,"""Gilliam, (OR)""",132.3,"26.6 - 148.6 (644)",1346
41027,"""Hood River, (OR)""",120.8,"26.6 - 148.6 (644)",1724
41029,"""Jackson, (OR)""",110.3,"26.6 - 148.6 (644)",2037
41031,"""Jefferson, (OR)""",155.2,"148.7 - 175.5 (644)",1150
41033,"""Josephine, (OR)""",119.2,"26.6 - 148.6 (644)",2265
41035,"""Klamath, (OR)""",149.7,"148.7 - 175.5 (644)",1422
41037,"""Lake, (OR)""",155.7,"148.7 - 175.5 (644)",1994
41039,"""Lane, (OR)""",110.5,"26.6 - 148.6 (644)",1605
41041,"""Lincoln, (OR)""",121.7,"26.6 - 148.6 (644)",1159
41043,"""Linn, (OR)""",164.3,"148.7 - 175.5 (644)",1551
41047,"""Marion, (OR)""",124.2,"26.6 - 148.6 (644)",1954
41051,"""Multnomah, (OR)""",124.5,"26.6 - 148.6 (644)",2372
41053,"""Polk, (OR)""",103.5,"26.6 - 148.6 (644)",1789
41055,"""Sherman, (OR)""",148.4,"26.6 - 148.6 (644)",2331
41057,"""Tillamook, (OR)""",127.8,"26.6 - 148.6 (644)",1319
41065,"""Wasco, (OR)""",134.9,"26.6 - 148.6 (644)",1702
41067,"""Washington, (OR)""",98.5,"26.6 - 148.6 (644)",1762
41069,"""Wheeler, (OR)""",164.2,"148.7 - 175.5 (644)",13
41071,"""Yamhill, (OR)""",136.6,"26.6 - 148.6 (644)",1595
53007,"""Chelan, (WA)""",126.3,"26.6 - 148.6 (644)",1463
53009,"""Clallam, (WA)""",141.2,"26.6 - 148.6 (644)",2238
53011,"""Clark, (WA)""",132.4,"26.6 - 148.6 (644)",2061
53015,"""Cowlitz, (WA)""",197.6,"175.6 - 204.1 (644)",1877
53027,"""Grays Harbor, (WA)""",179.1,"175.6 - 204.1 (644)",2629
53029,"""Island, (WA)""",149.2,"148.7 - 175.5 (644)",1527
53031,"""Jefferson, (WA)""",146.6,"26.6 - 148.6 (644)",1221
53033,"""King, (WA)""",133.1,"26.6 - 148.6 (644)",2421
53035,"""Kitsap, (WA)""",159.7,"148.7 - 175.5 (644)",1896
53037,"""Kittitas, (WA)""",152.8,"148.7 - 175.5 (644)",1413
53039,"""Klickitat, (WA)""",129,"26.6 - 148.6 (644)",2262
53041,"""Lewis, (WA)""",209.3,"204.2 - 242.8 (644)",2530
53045,"""Mason, (WA)""",146.9,"26.6 - 148.6 (644)",1532
53047,"""Okanogan, (WA)""",170.5,"148.7 - 175.5 (644)",2722
53049,"""Pacific, (WA)""",296.5,"242.9 - 651.5 (644)",2324
53053,"""Pierce, (WA)""",195.8,"175.6 - 204.1 (644)",2403
53055,"""San Juan, (WA)""",104.5,"26.6 - 148.6 (644)",1856
53057,"""Skagit, (WA)""",141.7,"26.6 - 148.6 (644)",1954
53059,"""Skamania, (WA)""",128,"26.6 - 148.6 (644)",2511
53061,"""Snohomish, (WA)""",144.6,"26.6 - 148.6 (644)",2271
53067,"""Thurston, (WA)""",150.8,"148.7 - 175.5 (644)",2023
53069,"""Wahkiakum, (WA)""",190.1,"175.6 - 204.1 (644)",644
53073,"""Whatcom, (WA)""",143.3,"26.6 - 148.6 (644)",2010
53077,"""Yakima, (WA)""",134.9,"26.6 - 148.6 (644)",2166
04001,"""Apache, (AZ)""",187.2,"175.6 - 204.1 (644)",2258
04003,"""Cochise, (AZ)""",192.8,"175.6 - 204.1 (644)",2077
04005,"""Coconino, (AZ)""",160.8,"148.7 - 175.5 (644)",2049
04007,"""Gila, (AZ)""",210.6,"204.2 - 242.8 (644)",2447
04009,"""Graham, (AZ)""",170.3,"148.7 - 175.5 (644)",2398
04011,"""Greenlee, (AZ)""",197.4,"175.6 - 204.1 (644)",1972
04012,"""La Paz, (AZ)""",262.3,"242.9 - 651.5 (644)",2183
04013,"""Maricopa, (AZ)""",157.1,"148.7 - 175.5 (644)",2135
04015,"""Mohave, (AZ)""",327.3,"242.9 - 651.5 (644)",1913
04017,"""Navajo, (AZ)""",176.2,"175.6 - 204.1 (644)",1769
04019,"""Pima, (AZ)""",168.1,"148.7 - 175.5 (644)",2163
04021,"""Pinal, (AZ)""",141.4,"26.6 - 148.6 (644)",2194
04023,"""Santa Cruz, (AZ)""",165.6,"148.7 - 175.5 (644)",1682
04025,"""Yavapai, (AZ)""",173.1,"148.7 - 175.5 (644)",1542
04027,"""Yuma, (AZ)""",170.4,"148.7 - 175.5 (644)",3084
06003,"""Alpine, (CA)""",191.6,"175.6 - 204.1 (644)",1156
06019,"""Fresno, (CA)""",205.7,"204.2 - 242.8 (644)",2312
06025,"""Imperial, (CA)""",151.3,"148.7 - 175.5 (644)",3669
06027,"""Inyo, (CA)""",188.9,"175.6 - 204.1 (644)",2031
06029,"""Kern, (CA)""",247.1,"242.9 - 651.5 (644)",2875
06037,"""Los Angeles, (CA)""",198.6,"175.6 - 204.1 (644)",5191
06039,"""Madera, (CA)""",173.5,"148.7 - 175.5 (644)",2000
06051,"""Mono, (CA)""",150.9,"148.7 - 175.5 (644)",1242
06059,"""Orange, (CA)""",148.8,"148.7 - 175.5 (644)",3196
06065,"""Riverside, (CA)""",211.7,"204.2 - 242.8 (644)",2960
06071,"""San Bernardino, (CA)""",206.7,"204.2 - 242.8 (644)",4560
06073,"""San Diego, (CA)""",149,"148.7 - 175.5 (644)",3417
06107,"""Tulare, (CA)""",234.9,"204.2 - 242.8 (644)",2207
06111,"""Ventura, (CA)""",156.6,"148.7 - 175.5 (644)",2551
08007,"""Archuleta, (CO)""",136.8,"26.6 - 148.6 (644)",1210
08029,"""Delta, (CO)""",174.5,"148.7 - 175.5 (644)",1524
08033,"""Dolores, (CO)""",130.2,"26.6 - 148.6 (644)",820
08045,"""Garfield, (CO)""",140.2,"26.6 - 148.6 (644)",2014
08051,"""Gunnison, (CO)""",88.4,"26.6 - 148.6 (644)",2552
