"cnty_fips","display_name","Value","theme_range","dm_prev_adj","ob_prev_adj","ltpia_prev_adj"
06099,"""Stanislaus, (CA)""",240,"204.2 - 242.8 (644)",10.9,30.4,24
06101,"""Sutter, (CA)""",209.3,"204.2 - 242.8 (644)",9.3,31.7,23.9
06103,"""Tehama, (CA)""",223.4,"204.2 - 242.8 (644)",8,27.2,26.6
06105,"""Trinity, (CA)""",178,"175.6 - 204.1 (644)",5.3,33.4,22.3
06109,"""Tuolumne, (CA)""",203.3,"175.6 - 204.1 (644)",7.3,33,19.3
06113,"""Yolo, (CA)""",135.3,"26.6 - 148.6 (644)",6.5,24,13.8
06115,"""Yuba, (CA)""",254.9,"242.9 - 651.5 (644)",11.6,34.4,33.6
15001,"""Hawaii, (HI)""",139.8,"26.6 - 148.6 (644)",8.6,26.2,20.7
15003,"""Honolulu, (HI)""",128.7,"26.6 - 148.6 (644)",9.5,23.7,20.3
15005,"""Kalawao, (HI)""",113.5,"26.6 - 148.6 (644)",6.5,17.6,16.6
15007,"""Kauai, (HI)""",126.5,"26.6 - 148.6 (644)",7.9,21.5,19.1
15009,"""Maui, (HI)""",120.6,"26.6 - 148.6 (644)",8.6,24.2,19.7
41003,"""Benton, (OR)""",106.8,"26.6 - 148.6 (644)",5.3,25,13
41005,"""Clackamas, (OR)""",102.9,"26.6 - 148.6 (644)",7.2,28.3,15.7
41007,"""Clatsop, (OR)""",157.5,"148.7 - 175.5 (644)",6.2,29.3,21
41009,"""Columbia, (OR)""",136.7,"26.6 - 148.6 (644)",10,30.1,20.5
41011,"""Coos, (OR)""",171.1,"148.7 - 175.5 (644)",9.8,39.2,25.3
41013,"""Crook, (OR)""",162,"148.7 - 175.5 (644)",14.8,33,24.7
41015,"""Curry, (OR)""",169.7,"148.7 - 175.5 (644)",7.9,34.8,21.4
41017,"""Deschutes, (OR)""",131.4,"26.6 - 148.6 (644)",6.9,22.7,13.6
41019,"""Douglas, (OR)""",153.8,"148.7 - 175.5 (644)",11.2,31.1,20.6
