"cnty_fips","display_name","Value","theme_range","pac_cost"
41011,"""Coos, (OR)""",171.1,"148.7 - 175.5 (644)",1934
41013,"""Crook, (OR)""",162,"148.7 - 175.5 (644)",1510
41015,"""Curry, (OR)""",169.7,"148.7 - 175.5 (644)",2090
41017,"""Deschutes, (OR)""",131.4,"26.6 - 148.6 (644)",1450
41019,"""Douglas, (OR)""",153.8,"148.7 - 175.5 (644)",1598
41021,"""Gilliam, (OR)""",132.3,"26.6 - 148.6 (644)",1726
41027,"""Hood River, (OR)""",120.8,"26.6 - 148.6 (644)",2456
41029,"""Jackson, (OR)""",110.3,"26.6 - 148.6 (644)",2646
41031,"""Jefferson, (OR)""",155.2,"148.7 - 175.5 (644)",1707
41033,"""Josephine, (OR)""",119.2,"26.6 - 148.6 (644)",2846
41035,"""Klamath, (OR)""",149.7,"148.7 - 175.5 (644)",1841
41037,"""Lake, (OR)""",155.7,"148.7 - 175.5 (644)",3391
41039,"""Lane, (OR)""",110.5,"26.6 - 148.6 (644)",2089
41041,"""Lincoln, (OR)""",121.7,"26.6 - 148.6 (644)",1572
41043,"""Linn, (OR)""",164.3,"148.7 - 175.5 (644)",2039
41047,"""Marion, (OR)""",124.2,"26.6 - 148.6 (644)",2523
41051,"""Multnomah, (OR)""",124.5,"26.6 - 148.6 (644)",2984
41053,"""Polk, (OR)""",103.5,"26.6 - 148.6 (644)",2281
41055,"""Sherman, (OR)""",148.4,"26.6 - 148.6 (644)",2595
41057,"""Tillamook, (OR)""",127.8,"26.6 - 148.6 (644)",1870
41065,"""Wasco, (OR)""",134.9,"26.6 - 148.6 (644)",2354
41067,"""Washington, (OR)""",98.5,"26.6 - 148.6 (644)",2378
41069,"""Wheeler, (OR)""",164.2,"148.7 - 175.5 (644)",674
41071,"""Yamhill, (OR)""",136.6,"26.6 - 148.6 (644)",2236
53007,"""Chelan, (WA)""",126.3,"26.6 - 148.6 (644)",1995
53009,"""Clallam, (WA)""",141.2,"26.6 - 148.6 (644)",2785
53011,"""Clark, (WA)""",132.4,"26.6 - 148.6 (644)",2533
53015,"""Cowlitz, (WA)""",197.6,"175.6 - 204.1 (644)",2462
53027,"""Grays Harbor, (WA)""",179.1,"175.6 - 204.1 (644)",3303
53029,"""Island, (WA)""",149.2,"148.7 - 175.5 (644)",1923
53031,"""Jefferson, (WA)""",146.6,"26.6 - 148.6 (644)",1693
53033,"""King, (WA)""",133.1,"26.6 - 148.6 (644)",3104
53035,"""Kitsap, (WA)""",159.7,"148.7 - 175.5 (644)",2351
53037,"""Kittitas, (WA)""",152.8,"148.7 - 175.5 (644)",1797
53039,"""Klickitat, (WA)""",129,"26.6 - 148.6 (644)",3068
53041,"""Lewis, (WA)""",209.3,"204.2 - 242.8 (644)",3223
53045,"""Mason, (WA)""",146.9,"26.6 - 148.6 (644)",2033
53047,"""Okanogan, (WA)""",170.5,"148.7 - 175.5 (644)",3370
53049,"""Pacific, (WA)""",296.5,"242.9 - 651.5 (644)",3001
53053,"""Pierce, (WA)""",195.8,"175.6 - 204.1 (644)",2951
53055,"""San Juan, (WA)""",104.5,"26.6 - 148.6 (644)",2251
53057,"""Skagit, (WA)""",141.7,"26.6 - 148.6 (644)",2546
53059,"""Skamania, (WA)""",128,"26.6 - 148.6 (644)",3140
53061,"""Snohomish, (WA)""",144.6,"26.6 - 148.6 (644)",2865
53067,"""Thurston, (WA)""",150.8,"148.7 - 175.5 (644)",2623
53069,"""Wahkiakum, (WA)""",190.1,"175.6 - 204.1 (644)",1078
