"cnty_fips","display_name","Value","theme_range","prev_hd"
40035,"""Craig, (OK)""",346.9,"242.9 - 651.5 (644)",37.7
40037,"""Creek, (OK)""",215.4,"204.2 - 242.8 (644)",37
40039,"""Custer, (OK)""",253.1,"242.9 - 651.5 (644)",40.4
40041,"""Delaware, (OK)""",241.8,"204.2 - 242.8 (644)",40
40043,"""Dewey, (OK)""",279,"242.9 - 651.5 (644)",42.9
40045,"""Ellis, (OK)""",295.3,"242.9 - 651.5 (644)",45.9
40047,"""Garfield, (OK)""",240.4,"204.2 - 242.8 (644)",42.6
40049,"""Garvin, (OK)""",283.3,"242.9 - 651.5 (644)",45.3
40051,"""Grady, (OK)""",257.5,"242.9 - 651.5 (644)",42.6
40053,"""Grant, (OK)""",237.6,"204.2 - 242.8 (644)",42.5
40055,"""Greer, (OK)""",235.1,"204.2 - 242.8 (644)",49
40057,"""Harmon, (OK)""",236.4,"204.2 - 242.8 (644)",42.7
40059,"""Harper, (OK)""",292.3,"242.9 - 651.5 (644)",42.2
40061,"""Haskell, (OK)""",340.6,"242.9 - 651.5 (644)",40.7
40063,"""Hughes, (OK)""",421,"242.9 - 651.5 (644)",40.3
40065,"""Jackson, (OK)""",230.9,"204.2 - 242.8 (644)",38.7
40067,"""Jefferson, (OK)""",338.4,"242.9 - 651.5 (644)",41.5
40069,"""Johnston, (OK)""",260.2,"242.9 - 651.5 (644)",47.5
40071,"""Kay, (OK)""",238.1,"204.2 - 242.8 (644)",38.4
40073,"""Kingfisher, (OK)""",196.4,"175.6 - 204.1 (644)",39.6
40075,"""Kiowa, (OK)""",253.1,"242.9 - 651.5 (644)",47
40077,"""Latimer, (OK)""",320.3,"242.9 - 651.5 (644)",43.8
40079,"""Le Flore, (OK)""",317.7,"242.9 - 651.5 (644)",42.7
40081,"""Lincoln, (OK)""",237.8,"204.2 - 242.8 (644)",39.1
40083,"""Logan, (OK)""",195,"175.6 - 204.1 (644)",41.6
40085,"""Love, (OK)""",203.8,"175.6 - 204.1 (644)",41.4
40087,"""McClain, (OK)""",231.4,"204.2 - 242.8 (644)",43
40089,"""McCurtain, (OK)""",354.5,"242.9 - 651.5 (644)",47.7
40091,"""McIntosh, (OK)""",352.6,"242.9 - 651.5 (644)",42.4
40093,"""Major, (OK)""",263.8,"242.9 - 651.5 (644)",45
40095,"""Marshall, (OK)""",205,"204.2 - 242.8 (644)",46.2
40097,"""Mayes, (OK)""",255.1,"242.9 - 651.5 (644)",39.7
40099,"""Murray, (OK)""",291.8,"242.9 - 651.5 (644)",44.4
40101,"""Muskogee, (OK)""",348.8,"242.9 - 651.5 (644)",40.6
40103,"""Noble, (OK)""",231.3,"204.2 - 242.8 (644)",42.5
40105,"""Nowata, (OK)""",221.6,"204.2 - 242.8 (644)",33.9
40107,"""Okfuskee, (OK)""",328.9,"242.9 - 651.5 (644)",37.3
40109,"""Oklahoma, (OK)""",223.1,"204.2 - 242.8 (644)",41.3
40111,"""Okmulgee, (OK)""",303.4,"242.9 - 651.5 (644)",36.2
40113,"""Osage, (OK)""",206.7,"204.2 - 242.8 (644)",36.9
40115,"""Ottawa, (OK)""",337.5,"242.9 - 651.5 (644)",42.6
40117,"""Pawnee, (OK)""",234.3,"204.2 - 242.8 (644)",39.4
40119,"""Payne, (OK)""",196.9,"175.6 - 204.1 (644)",38.1
40121,"""Pittsburg, (OK)""",337.2,"242.9 - 651.5 (644)",41.6
40123,"""Pontotoc, (OK)""",285.2,"242.9 - 651.5 (644)",45.7
40125,"""Pottawatomie, (OK)""",293.1,"242.9 - 651.5 (644)",40.7
40127,"""Pushmataha, (OK)""",331.4,"242.9 - 651.5 (644)",44.2
40129,"""Roger Mills, (OK)""",245.9,"242.9 - 651.5 (644)",44
40131,"""Rogers, (OK)""",244.7,"242.9 - 651.5 (644)",37.2
40133,"""Seminole, (OK)""",378.1,"242.9 - 651.5 (644)",43.1
40135,"""Sequoyah, (OK)""",319.7,"242.9 - 651.5 (644)",41.7
40137,"""Stephens, (OK)""",290.8,"242.9 - 651.5 (644)",41.2
40139,"""Texas, (OK)""",252.6,"242.9 - 651.5 (644)",38.6
40141,"""Tillman, (OK)""",238.5,"204.2 - 242.8 (644)",45
40143,"""Tulsa, (OK)""",222.9,"204.2 - 242.8 (644)",35.4
40145,"""Wagoner, (OK)""",213.4,"204.2 - 242.8 (644)",39.1
40147,"""Washington, (OK)""",212.4,"204.2 - 242.8 (644)",33.1
40149,"""Washita, (OK)""",267.7,"242.9 - 651.5 (644)",45
40151,"""Woods, (OK)""",265.4,"242.9 - 651.5 (644)",43
40153,"""Woodward, (OK)""",296.9,"242.9 - 651.5 (644)",46.4
46003,"""Aurora, (SD)""",202.2,"175.6 - 204.1 (644)",34.3
46005,"""Beadle, (SD)""",200.5,"175.6 - 204.1 (644)",34.2
46007,"""Bennett, (SD)""",300.1,"242.9 - 651.5 (644)",33.7
46009,"""Bon Homme, (SD)""",188.9,"175.6 - 204.1 (644)",30.9
46011,"""Brookings, (SD)""",201.7,"175.6 - 204.1 (644)",31
46015,"""Brule, (SD)""",272.7,"242.9 - 651.5 (644)",31.7
46017,"""Buffalo, (SD)""",310.3,"242.9 - 651.5 (644)",43.9
46023,"""Charles Mix, (SD)""",230,"204.2 - 242.8 (644)",34.2
46027,"""Clay, (SD)""",260.2,"242.9 - 651.5 (644)",35.1
46033,"""Custer, (SD)""",164.4,"148.7 - 175.5 (644)",27.2
46035,"""Davison, (SD)""",141.3,"26.6 - 148.6 (644)",30.2
46043,"""Douglas, (SD)""",137.3,"26.6 - 148.6 (644)",27.8
46047,"""Fall River, (SD)""",258,"242.9 - 651.5 (644)",25
46053,"""Gregory, (SD)""",247.6,"242.9 - 651.5 (644)",26.7
46055,"""Haakon, (SD)""",206.7,"204.2 - 242.8 (644)",23.3
46059,"""Hand, (SD)""",205.8,"204.2 - 242.8 (644)",32.6
46061,"""Hanson, (SD)""",153.3,"148.7 - 175.5 (644)",31.4
46065,"""Hughes, (SD)""",178.4,"175.6 - 204.1 (644)",28.2
46067,"""Hutchinson, (SD)""",194.3,"175.6 - 204.1 (644)",32.5
46069,"""Hyde, (SD)""",218.9,"204.2 - 242.8 (644)",27.5
46071,"""Jackson, (SD)""",251.8,"242.9 - 651.5 (644)",32.4
46073,"""Jerauld, (SD)""",236.1,"204.2 - 242.8 (644)",26.6
46075,"""Jones, (SD)""",224.9,"204.2 - 242.8 (644)",25
46077,"""Kingsbury, (SD)""",195.1,"175.6 - 204.1 (644)",32.3
46079,"""Lake, (SD)""",194.8,"175.6 - 204.1 (644)",30.7
46081,"""Lawrence, (SD)""",149.7,"148.7 - 175.5 (644)",24.3
46083,"""Lincoln, (SD)""",126.3,"26.6 - 148.6 (644)",31.7
46085,"""Lyman, (SD)""",225.8,"204.2 - 242.8 (644)",32.5
46087,"""McCook, (SD)""",195.6,"175.6 - 204.1 (644)",30.4
46093,"""Meade, (SD)""",201.2,"175.6 - 204.1 (644)",24.7
46095,"""Mellette, (SD)""",287.2,"242.9 - 651.5 (644)",24.6
46097,"""Miner, (SD)""",200,"175.6 - 204.1 (644)",31
46099,"""Minnehaha, (SD)""",175.9,"175.6 - 204.1 (644)",31.4
46101,"""Moody, (SD)""",193.1,"175.6 - 204.1 (644)",29.9
46103,"""Pennington, (SD)""",212.8,"204.2 - 242.8 (644)",28.1
46111,"""Sanborn, (SD)""",172.1,"148.7 - 175.5 (644)",23.9
46102,"""Oglala Lakota, (SD)""",81.7,"26.6 - 148.6 (644)",39.4
46117,"""Stanley, (SD)""",160.3,"148.7 - 175.5 (644)",27.8
46121,"""Todd, (SD)""",312.3,"242.9 - 651.5 (644)",37.3
46123,"""Tripp, (SD)""",251.4,"242.9 - 651.5 (644)",29.7
46125,"""Turner, (SD)""",233.5,"204.2 - 242.8 (644)",33.4
46127,"""Union, (SD)""",121.4,"26.6 - 148.6 (644)",32
46135,"""Yankton, (SD)""",205.4,"204.2 - 242.8 (644)",30.7
48003,"""Andrews, (TX)""",293.3,"242.9 - 651.5 (644)",37.3
48009,"""Archer, (TX)""",236.4,"204.2 - 242.8 (644)",40.4
48011,"""Armstrong, (TX)""",284.5,"242.9 - 651.5 (644)",36.7
48017,"""Bailey, (TX)""",227.7,"204.2 - 242.8 (644)",43.3
48023,"""Baylor, (TX)""",245.2,"242.9 - 651.5 (644)",41.4
48033,"""Borden, (TX)""",211.9,"204.2 - 242.8 (644)",51
48037,"""Bowie, (TX)""",348.3,"242.9 - 651.5 (644)",41.2
48045,"""Briscoe, (TX)""",177.6,"175.6 - 204.1 (644)",34
48059,"""Callahan, (TX)""",272.7,"242.9 - 651.5 (644)",41.3
48063,"""Camp, (TX)""",251.3,"242.9 - 651.5 (644)",38.6
48065,"""Carson, (TX)""",306.8,"242.9 - 651.5 (644)",41.7
48067,"""Cass, (TX)""",310.3,"242.9 - 651.5 (644)",41
48069,"""Castro, (TX)""",245.3,"242.9 - 651.5 (644)",37.3
48075,"""Childress, (TX)""",271.7,"242.9 - 651.5 (644)",36.5
48077,"""Clay, (TX)""",230.2,"204.2 - 242.8 (644)",43.7
48079,"""Cochran, (TX)""",246.8,"242.9 - 651.5 (644)",44.1
48085,"""Collin, (TX)""",129.8,"26.6 - 148.6 (644)",36
48087,"""Collingsworth, (TX)""",329.9,"242.9 - 651.5 (644)",40.6
48097,"""Cooke, (TX)""",157.6,"148.7 - 175.5 (644)",39.2
48101,"""Cottle, (TX)""",243.6,"242.9 - 651.5 (644)",39.2
48107,"""Crosby, (TX)""",233.1,"204.2 - 242.8 (644)",45
48111,"""Dallam, (TX)""",216.7,"204.2 - 242.8 (644)",37.7
48113,"""Dallas, (TX)""",168.8,"148.7 - 175.5 (644)",33.5
48115,"""Dawson, (TX)""",238.3,"204.2 - 242.8 (644)",43.1
48117,"""Deaf Smith, (TX)""",230,"204.2 - 242.8 (644)",38
48119,"""Delta, (TX)""",342.9,"242.9 - 651.5 (644)",44.3
48121,"""Denton, (TX)""",118.1,"26.6 - 148.6 (644)",36.4
48125,"""Dickens, (TX)""",172.5,"148.7 - 175.5 (644)",42.2
48129,"""Donley, (TX)""",254.9,"242.9 - 651.5 (644)",36.6
48133,"""Eastland, (TX)""",206.7,"204.2 - 242.8 (644)",37.6
48139,"""Ellis, (TX)""",168.9,"148.7 - 175.5 (644)",36.4
48143,"""Erath, (TX)""",258.6,"242.9 - 651.5 (644)",33.9
48147,"""Fannin, (TX)""",348.3,"242.9 - 651.5 (644)",46.3
48151,"""Fisher, (TX)""",250.2,"242.9 - 651.5 (644)",46.2
48153,"""Floyd, (TX)""",233.5,"204.2 - 242.8 (644)",42.4
48155,"""Foard, (TX)""",218.7,"204.2 - 242.8 (644)",43.5
48159,"""Franklin, (TX)""",282.1,"242.9 - 651.5 (644)",39.2
48165,"""Gaines, (TX)""",258.1,"242.9 - 651.5 (644)",40.5
48169,"""Garza, (TX)""",226.9,"204.2 - 242.8 (644)",42
48179,"""Gray, (TX)""",365.9,"242.9 - 651.5 (644)",47.8
48181,"""Grayson, (TX)""",196.5,"175.6 - 204.1 (644)",42.8
48183,"""Gregg, (TX)""",241.5,"204.2 - 242.8 (644)",35.3
48189,"""Hale, (TX)""",234.8,"204.2 - 242.8 (644)",40.5
48191,"""Hall, (TX)""",201.1,"175.6 - 204.1 (644)",38.1
48195,"""Hansford, (TX)""",219.2,"204.2 - 242.8 (644)",38.3
48197,"""Hardeman, (TX)""",233.6,"204.2 - 242.8 (644)",38.3
48203,"""Harrison, (TX)""",212.5,"204.2 - 242.8 (644)",35.6
48205,"""Hartley, (TX)""",247.4,"242.9 - 651.5 (644)",40.5
48207,"""Haskell, (TX)""",269.9,"242.9 - 651.5 (644)",43.8
48211,"""Hemphill, (TX)""",278.3,"242.9 - 651.5 (644)",31.8
48213,"""Henderson, (TX)""",285.6,"242.9 - 651.5 (644)",39.5
48219,"""Hockley, (TX)""",186.9,"175.6 - 204.1 (644)",42.9
48221,"""Hood, (TX)""",183.6,"175.6 - 204.1 (644)",36.8
48223,"""Hopkins, (TX)""",283.7,"242.9 - 651.5 (644)",41.8
48227,"""Howard, (TX)""",353.9,"242.9 - 651.5 (644)",46.7
48231,"""Hunt, (TX)""",249.9,"242.9 - 651.5 (644)",38.5
48233,"""Hutchinson, (TX)""",431,"242.9 - 651.5 (644)",41.1
48237,"""Jack, (TX)""",239.6,"204.2 - 242.8 (644)",42.7
48251,"""Johnson, (TX)""",221.6,"204.2 - 242.8 (644)",39.4
48253,"""Jones, (TX)""",277.1,"242.9 - 651.5 (644)",44
48257,"""Kaufman, (TX)""",243.6,"242.9 - 651.5 (644)",38.4
48263,"""Kent, (TX)""",190.4,"175.6 - 204.1 (644)",51.6
48269,"""King, (TX)""",208,"204.2 - 242.8 (644)",38.1
48275,"""Knox, (TX)""",247.2,"242.9 - 651.5 (644)",40.1
48277,"""Lamar, (TX)""",359.5,"242.9 - 651.5 (644)",50.5
48279,"""Lamb, (TX)""",239.4,"204.2 - 242.8 (644)",38.3
48295,"""Lipscomb, (TX)""",245.1,"242.9 - 651.5 (644)",41.1
48303,"""Lubbock, (TX)""",238.6,"204.2 - 242.8 (644)",43.8
48305,"""Lynn, (TX)""",226.3,"204.2 - 242.8 (644)",44.1
48315,"""Marion, (TX)""",233,"204.2 - 242.8 (644)",36.1
48317,"""Martin, (TX)""",256.6,"242.9 - 651.5 (644)",42.8
48335,"""Mitchell, (TX)""",202.6,"175.6 - 204.1 (644)",39.8
48337,"""Montague, (TX)""",262.2,"242.9 - 651.5 (644)",39.5
48341,"""Moore, (TX)""",243.4,"242.9 - 651.5 (644)",43.5
48343,"""Morris, (TX)""",279.6,"242.9 - 651.5 (644)",42.8
48345,"""Motley, (TX)""",178.9,"175.6 - 204.1 (644)",37.2
48353,"""Nolan, (TX)""",247.8,"242.9 - 651.5 (644)",45.6
48357,"""Ochiltree, (TX)""",382.7,"242.9 - 651.5 (644)",38.9
48359,"""Oldham, (TX)""",226.5,"204.2 - 242.8 (644)",36.6
48363,"""Palo Pinto, (TX)""",307.9,"242.9 - 651.5 (644)",41.9
48365,"""Panola, (TX)""",199.2,"175.6 - 204.1 (644)",37.7
48367,"""Parker, (TX)""",188.2,"175.6 - 204.1 (644)",39.7
48369,"""Parmer, (TX)""",218.5,"204.2 - 242.8 (644)",38.8
48375,"""Potter, (TX)""",342.6,"242.9 - 651.5 (644)",38.5
48379,"""Rains, (TX)""",242.2,"204.2 - 242.8 (644)",40.7
48381,"""Randall, (TX)""",258.1,"242.9 - 651.5 (644)",38.9
48387,"""Red River, (TX)""",368.1,"242.9 - 651.5 (644)",52.5
48393,"""Roberts, (TX)""",334.2,"242.9 - 651.5 (644)",39.4
48397,"""Rockwall, (TX)""",188.5,"175.6 - 204.1 (644)",34.8
48401,"""Rusk, (TX)""",215.3,"204.2 - 242.8 (644)",38.3
48415,"""Scurry, (TX)""",175.8,"175.6 - 204.1 (644)",42.8
48417,"""Shackelford, (TX)""",254.3,"242.9 - 651.5 (644)",44.3
48421,"""Sherman, (TX)""",270,"242.9 - 651.5 (644)",39.3
48423,"""Smith, (TX)""",209,"204.2 - 242.8 (644)",39.1
48425,"""Somervell, (TX)""",202.3,"175.6 - 204.1 (644)",33.3
48429,"""Stephens, (TX)""",268.7,"242.9 - 651.5 (644)",44.6
48433,"""Stonewall, (TX)""",273.8,"242.9 - 651.5 (644)",49.3
48437,"""Swisher, (TX)""",248.3,"242.9 - 651.5 (644)",39.5
48439,"""Tarrant, (TX)""",157.9,"148.7 - 175.5 (644)",35.9
48441,"""Taylor, (TX)""",276.9,"242.9 - 651.5 (644)",41.6
48445,"""Terry, (TX)""",302.9,"242.9 - 651.5 (644)",42.8
48447,"""Throckmorton, (TX)""",251,"242.9 - 651.5 (644)",43.4
48449,"""Titus, (TX)""",240.8,"204.2 - 242.8 (644)",42.1
48459,"""Upshur, (TX)""",281.4,"242.9 - 651.5 (644)",36.8
48467,"""Van Zandt, (TX)""",218.7,"204.2 - 242.8 (644)",39.2
48483,"""Wheeler, (TX)""",279.7,"242.9 - 651.5 (644)",41.3
48485,"""Wichita, (TX)""",245.4,"242.9 - 651.5 (644)",40.8
48487,"""Wilbarger, (TX)""",240,"204.2 - 242.8 (644)",48
48497,"""Wise, (TX)""",182.3,"175.6 - 204.1 (644)",44.4
48499,"""Wood, (TX)""",227.7,"204.2 - 242.8 (644)",39
48501,"""Yoakum, (TX)""",251.5,"242.9 - 651.5 (644)",37.9
48503,"""Young, (TX)""",284.5,"242.9 - 651.5 (644)",41.5
56001,"""Albany, (WY)""",139,"26.6 - 148.6 (644)",26.1
56005,"""Campbell, (WY)""",269.6,"242.9 - 651.5 (644)",32.4
56009,"""Converse, (WY)""",151.4,"148.7 - 175.5 (644)",30.1
56011,"""Crook, (WY)""",228.9,"204.2 - 242.8 (644)",25.5
56015,"""Goshen, (WY)""",157.7,"148.7 - 175.5 (644)",27.8
56019,"""Johnson, (WY)""",191,"175.6 - 204.1 (644)",24.1
56021,"""Laramie, (WY)""",155.7,"148.7 - 175.5 (644)",30.8
56027,"""Niobrara, (WY)""",156.7,"148.7 - 175.5 (644)",26
56031,"""Platte, (WY)""",156.1,"148.7 - 175.5 (644)",31
56045,"""Weston, (WY)""",200.9,"175.6 - 204.1 (644)",28.4
16003,"""Adams, (ID)""",128.8,"26.6 - 148.6 (644)",25
16009,"""Benewah, (ID)""",204.1,"175.6 - 204.1 (644)",25.1
16017,"""Bonner, (ID)""",148.8,"148.7 - 175.5 (644)",27
16021,"""Boundary, (ID)""",160,"148.7 - 175.5 (644)",24.4
16035,"""Clearwater, (ID)""",176.3,"175.6 - 204.1 (644)",27.7
16049,"""Idaho, (ID)""",121.5,"26.6 - 148.6 (644)",24.9
16055,"""Kootenai, (ID)""",185.6,"175.6 - 204.1 (644)",28.8
16057,"""Latah, (ID)""",148,"26.6 - 148.6 (644)",23.6
16059,"""Lemhi, (ID)""",112.4,"26.6 - 148.6 (644)",28.6
16061,"""Lewis, (ID)""",130.8,"26.6 - 148.6 (644)",28.8
16069,"""Nez Perce, (ID)""",136.8,"26.6 - 148.6 (644)",31.3
16079,"""Shoshone, (ID)""",205.4,"204.2 - 242.8 (644)",32.2
16085,"""Valley, (ID)""",88.2,"26.6 - 148.6 (644)",26.7
27005,"""Becker, (MN)""",125.2,"26.6 - 148.6 (644)",32.2
27007,"""Beltrami, (MN)""",140.7,"26.6 - 148.6 (644)",35.5
27009,"""Benton, (MN)""",107.3,"26.6 - 148.6 (644)",30.8
27011,"""Big Stone, (MN)""",191.4,"175.6 - 204.1 (644)",31.1
27019,"""Carver, (MN)""",82.6,"26.6 - 148.6 (644)",28.6
27021,"""Cass, (MN)""",130.3,"26.6 - 148.6 (644)",31.4
27023,"""Chippewa, (MN)""",150.5,"148.7 - 175.5 (644)",27.9
27027,"""Clay, (MN)""",139.5,"26.6 - 148.6 (644)",30.3
27029,"""Clearwater, (MN)""",139.6,"26.6 - 148.6 (644)",32.8
27035,"""Crow Wing, (MN)""",120.9,"26.6 - 148.6 (644)",29.2
27041,"""Douglas, (MN)""",125.3,"26.6 - 148.6 (644)",28.3
27051,"""Grant, (MN)""",173.9,"148.7 - 175.5 (644)",29.2
27057,"""Hubbard, (MN)""",129.8,"26.6 - 148.6 (644)",32
27061,"""Itasca, (MN)""",136.4,"26.6 - 148.6 (644)",29.9
27067,"""Kandiyohi, (MN)""",97.9,"26.6 - 148.6 (644)",26.6
27069,"""Kittson, (MN)""",182.7,"175.6 - 204.1 (644)",35.8
27071,"""Koochiching, (MN)""",135,"26.6 - 148.6 (644)",30.1
27073,"""Lac qui Parle, (MN)""",183.6,"175.6 - 204.1 (644)",30.1
27077,"""Lake of the Woods, (MN)""",164.1,"148.7 - 175.5 (644)",35.5
27085,"""McLeod, (MN)""",119.1,"26.6 - 148.6 (644)",30.8
27087,"""Mahnomen, (MN)""",201.7,"175.6 - 204.1 (644)",36.6
27089,"""Marshall, (MN)""",173.4,"148.7 - 175.5 (644)",32.7
27093,"""Meeker, (MN)""",118.9,"26.6 - 148.6 (644)",29.9
27097,"""Morrison, (MN)""",104.9,"26.6 - 148.6 (644)",28.1
27107,"""Norman, (MN)""",193.6,"175.6 - 204.1 (644)",30.3
27111,"""Otter Tail, (MN)""",178.3,"175.6 - 204.1 (644)",28.9
27113,"""Pennington, (MN)""",187.5,"175.6 - 204.1 (644)",30
27119,"""Polk, (MN)""",185.7,"175.6 - 204.1 (644)",33.3
27121,"""Pope, (MN)""",119.7,"26.6 - 148.6 (644)",31.4
27125,"""Red Lake, (MN)""",193.1,"175.6 - 204.1 (644)",30.1
27129,"""Renville, (MN)""",120.5,"26.6 - 148.6 (644)",25.8
27135,"""Roseau, (MN)""",173.6,"148.7 - 175.5 (644)",32.8
27141,"""Sherburne, (MN)""",99.2,"26.6 - 148.6 (644)",30.2
27145,"""Stearns, (MN)""",97.3,"26.6 - 148.6 (644)",28.6
27149,"""Stevens, (MN)""",134.4,"26.6 - 148.6 (644)",30.5
27151,"""Swift, (MN)""",177,"175.6 - 204.1 (644)",31.7
27153,"""Todd, (MN)""",107.7,"26.6 - 148.6 (644)",27.7
27155,"""Traverse, (MN)""",192.4,"175.6 - 204.1 (644)",29.7
27159,"""Wadena, (MN)""",147.5,"26.6 - 148.6 (644)",29
27167,"""Wilkin, (MN)""",177.1,"175.6 - 204.1 (644)",30.9
27171,"""Wright, (MN)""",103.5,"26.6 - 148.6 (644)",30.7
27173,"""Yellow Medicine, (MN)""",145.6,"26.6 - 148.6 (644)",29
30001,"""Beaverhead, (MT)""",166.8,"148.7 - 175.5 (644)",25.8
30003,"""Big Horn, (MT)""",163,"148.7 - 175.5 (644)",35
30005,"""Blaine, (MT)""",254.1,"242.9 - 651.5 (644)",30
30007,"""Broadwater, (MT)""",190.9,"175.6 - 204.1 (644)",28
30009,"""Carbon, (MT)""",117.7,"26.6 - 148.6 (644)",27.2
30011,"""Carter, (MT)""",206.8,"204.2 - 242.8 (644)",23.8
30013,"""Cascade, (MT)""",161.9,"148.7 - 175.5 (644)",31.6
30015,"""Chouteau, (MT)""",203.9,"175.6 - 204.1 (644)",28.7
30017,"""Custer, (MT)""",164.7,"148.7 - 175.5 (644)",29
30019,"""Daniels, (MT)""",242.7,"204.2 - 242.8 (644)",33.5
30021,"""Dawson, (MT)""",97.1,"26.6 - 148.6 (644)",30.2
30023,"""Deer Lodge, (MT)""",226.9,"204.2 - 242.8 (644)",28.2
30025,"""Fallon, (MT)""",161.7,"148.7 - 175.5 (644)",28.1
30027,"""Fergus, (MT)""",163,"148.7 - 175.5 (644)",28.2
30029,"""Flathead, (MT)""",156.1,"148.7 - 175.5 (644)",30.1
30031,"""Gallatin, (MT)""",123.7,"26.6 - 148.6 (644)",23.2
30033,"""Garfield, (MT)""",188,"175.6 - 204.1 (644)",27
30035,"""Glacier, (MT)""",233.5,"204.2 - 242.8 (644)",29.1
30037,"""Golden Valley, (MT)""",169.7,"148.7 - 175.5 (644)",27.5
30039,"""Granite, (MT)""",157,"148.7 - 175.5 (644)",26.5
30041,"""Hill, (MT)""",251.1,"242.9 - 651.5 (644)",28.4
30043,"""Jefferson, (MT)""",172.2,"148.7 - 175.5 (644)",24.6
30045,"""Judith Basin, (MT)""",165.5,"148.7 - 175.5 (644)",29
30047,"""Lake, (MT)""",175.9,"175.6 - 204.1 (644)",29.8
30049,"""Lewis and Clark, (MT)""",147,"26.6 - 148.6 (644)",26.1
30051,"""Liberty, (MT)""",181.9,"175.6 - 204.1 (644)",29.3
30053,"""Lincoln, (MT)""",226.9,"204.2 - 242.8 (644)",31.1
30055,"""McCone, (MT)""",204.8,"204.2 - 242.8 (644)",21.2
30057,"""Madison, (MT)""",120.6,"26.6 - 148.6 (644)",24.2
30059,"""Meagher, (MT)""",155.8,"148.7 - 175.5 (644)",21.7
30061,"""Mineral, (MT)""",196.3,"175.6 - 204.1 (644)",28.7
30063,"""Missoula, (MT)""",181.6,"175.6 - 204.1 (644)",26.9
30065,"""Musselshell, (MT)""",178.7,"175.6 - 204.1 (644)",28.7
30067,"""Park, (MT)""",131.8,"26.6 - 148.6 (644)",26.6
30069,"""Petroleum, (MT)""",242.9,"242.9 - 651.5 (644)",24.2
30071,"""Phillips, (MT)""",155.5,"148.7 - 175.5 (644)",30.5
30073,"""Pondera, (MT)""",157.8,"148.7 - 175.5 (644)",35.8
30075,"""Powder River, (MT)""",232,"204.2 - 242.8 (644)",31.8
30077,"""Powell, (MT)""",171.5,"148.7 - 175.5 (644)",31.1
30079,"""Prairie, (MT)""",125.2,"26.6 - 148.6 (644)",31.1
30081,"""Ravalli, (MT)""",119,"26.6 - 148.6 (644)",26.2
30083,"""Richland, (MT)""",149.7,"148.7 - 175.5 (644)",38.2
30085,"""Roosevelt, (MT)""",251.1,"242.9 - 651.5 (644)",30.4
30087,"""Rosebud, (MT)""",191.5,"175.6 - 204.1 (644)",28.4
30089,"""Sanders, (MT)""",209.1,"204.2 - 242.8 (644)",28.7
30091,"""Sheridan, (MT)""",154.8,"148.7 - 175.5 (644)",32.4
30093,"""Silver Bow, (MT)""",248.6,"242.9 - 651.5 (644)",29.6
30095,"""Stillwater, (MT)""",165.1,"148.7 - 175.5 (644)",25.4
30097,"""Sweet Grass, (MT)""",168.4,"148.7 - 175.5 (644)",24.8
30099,"""Teton, (MT)""",159,"148.7 - 175.5 (644)",31.3
30101,"""Toole, (MT)""",182.6,"175.6 - 204.1 (644)",27.2
30103,"""Treasure, (MT)""",169.7,"148.7 - 175.5 (644)",23.9
30105,"""Valley, (MT)""",250.8,"242.9 - 651.5 (644)",27
30107,"""Wheatland, (MT)""",173.8,"148.7 - 175.5 (644)",25.8
30109,"""Wibaux, (MT)""",139.2,"26.6 - 148.6 (644)",33.9
30111,"""Yellowstone, (MT)""",166.7,"148.7 - 175.5 (644)",30.3
38001,"""Adams, (ND)""",177.5,"175.6 - 204.1 (644)",32.9
38003,"""Barnes, (ND)""",114,"26.6 - 148.6 (644)",33.1
38005,"""Benson, (ND)""",218.4,"204.2 - 242.8 (644)",34
38007,"""Billings, (ND)""",183.3,"175.6 - 204.1 (644)",27.8
38009,"""Bottineau, (ND)""",246.1,"242.9 - 651.5 (644)",33.7
38011,"""Bowman, (ND)""",166.1,"148.7 - 175.5 (644)",31.4
38013,"""Burke, (ND)""",211.3,"204.2 - 242.8 (644)",28.3
38015,"""Burleigh, (ND)""",108.4,"26.6 - 148.6 (644)",33.2
38017,"""Cass, (ND)""",108.8,"26.6 - 148.6 (644)",32
38019,"""Cavalier, (ND)""",175.5,"148.7 - 175.5 (644)",29.4
38021,"""Dickey, (ND)""",208.7,"204.2 - 242.8 (644)",33.6
38023,"""Divide, (ND)""",159,"148.7 - 175.5 (644)",34.4
38025,"""Dunn, (ND)""",182.6,"175.6 - 204.1 (644)",36.5
38027,"""Eddy, (ND)""",208.1,"204.2 - 242.8 (644)",33.3
38029,"""Emmons, (ND)""",205.6,"204.2 - 242.8 (644)",35
38031,"""Foster, (ND)""",203.9,"175.6 - 204.1 (644)",32.9
38033,"""Golden Valley, (ND)""",196.5,"175.6 - 204.1 (644)",34.5
38035,"""Grand Forks, (ND)""",174.6,"148.7 - 175.5 (644)",34.1
38037,"""Grant, (ND)""",124.7,"26.6 - 148.6 (644)",32.6
38039,"""Griggs, (ND)""",161.1,"148.7 - 175.5 (644)",29
38041,"""Hettinger, (ND)""",161.7,"148.7 - 175.5 (644)",31
38043,"""Kidder, (ND)""",150.4,"148.7 - 175.5 (644)",32.4
38045,"""LaMoure, (ND)""",158.2,"148.7 - 175.5 (644)",34.9
38047,"""Logan, (ND)""",204.2,"204.2 - 242.8 (644)",29.7
38049,"""McHenry, (ND)""",183.6,"175.6 - 204.1 (644)",34.5
