"cnty_fips","display_name","Value","theme_range","prev_hd"
41007,"""Clatsop, (OR)""",157.5,"148.7 - 175.5 (644)",30.3
41009,"""Columbia, (OR)""",136.7,"26.6 - 148.6 (644)",33
41011,"""Coos, (OR)""",171.1,"148.7 - 175.5 (644)",31.3
41013,"""Crook, (OR)""",162,"148.7 - 175.5 (644)",30.1
41015,"""Curry, (OR)""",169.7,"148.7 - 175.5 (644)",29.4
41017,"""Deschutes, (OR)""",131.4,"26.6 - 148.6 (644)",31.6
41019,"""Douglas, (OR)""",153.8,"148.7 - 175.5 (644)",29.8
41021,"""Gilliam, (OR)""",132.3,"26.6 - 148.6 (644)",28.3
41027,"""Hood River, (OR)""",120.8,"26.6 - 148.6 (644)",23.3
41029,"""Jackson, (OR)""",110.3,"26.6 - 148.6 (644)",27.7
41031,"""Jefferson, (OR)""",155.2,"148.7 - 175.5 (644)",30.9
41033,"""Josephine, (OR)""",119.2,"26.6 - 148.6 (644)",30.1
41035,"""Klamath, (OR)""",149.7,"148.7 - 175.5 (644)",31.7
41037,"""Lake, (OR)""",155.7,"148.7 - 175.5 (644)",25.1
41039,"""Lane, (OR)""",110.5,"26.6 - 148.6 (644)",26.8
41041,"""Lincoln, (OR)""",121.7,"26.6 - 148.6 (644)",28.8
41043,"""Linn, (OR)""",164.3,"148.7 - 175.5 (644)",30.8
41047,"""Marion, (OR)""",124.2,"26.6 - 148.6 (644)",30.3
41051,"""Multnomah, (OR)""",124.5,"26.6 - 148.6 (644)",27.1
41053,"""Polk, (OR)""",103.5,"26.6 - 148.6 (644)",29.8
41055,"""Sherman, (OR)""",148.4,"26.6 - 148.6 (644)",29
41057,"""Tillamook, (OR)""",127.8,"26.6 - 148.6 (644)",28.9
41065,"""Wasco, (OR)""",134.9,"26.6 - 148.6 (644)",29.4
41067,"""Washington, (OR)""",98.5,"26.6 - 148.6 (644)",27.6
41069,"""Wheeler, (OR)""",164.2,"148.7 - 175.5 (644)",23.2
41071,"""Yamhill, (OR)""",136.6,"26.6 - 148.6 (644)",32.5
53007,"""Chelan, (WA)""",126.3,"26.6 - 148.6 (644)",26.5
53009,"""Clallam, (WA)""",141.2,"26.6 - 148.6 (644)",30.5
53011,"""Clark, (WA)""",132.4,"26.6 - 148.6 (644)",30.3
53015,"""Cowlitz, (WA)""",197.6,"175.6 - 204.1 (644)",33.6
53027,"""Grays Harbor, (WA)""",179.1,"175.6 - 204.1 (644)",32.9
53029,"""Island, (WA)""",149.2,"148.7 - 175.5 (644)",26.3
53031,"""Jefferson, (WA)""",146.6,"26.6 - 148.6 (644)",25.5
53033,"""King, (WA)""",133.1,"26.6 - 148.6 (644)",27.2
53035,"""Kitsap, (WA)""",159.7,"148.7 - 175.5 (644)",28.8
53037,"""Kittitas, (WA)""",152.8,"148.7 - 175.5 (644)",27.3
53039,"""Klickitat, (WA)""",129,"26.6 - 148.6 (644)",28
53041,"""Lewis, (WA)""",209.3,"204.2 - 242.8 (644)",30.8
53045,"""Mason, (WA)""",146.9,"26.6 - 148.6 (644)",30.1
53047,"""Okanogan, (WA)""",170.5,"148.7 - 175.5 (644)",26.4
53049,"""Pacific, (WA)""",296.5,"242.9 - 651.5 (644)",31.6
53053,"""Pierce, (WA)""",195.8,"175.6 - 204.1 (644)",30.2
53055,"""San Juan, (WA)""",104.5,"26.6 - 148.6 (644)",22.4
53057,"""Skagit, (WA)""",141.7,"26.6 - 148.6 (644)",28.6
53059,"""Skamania, (WA)""",128,"26.6 - 148.6 (644)",28.3
53061,"""Snohomish, (WA)""",144.6,"26.6 - 148.6 (644)",29
53067,"""Thurston, (WA)""",150.8,"148.7 - 175.5 (644)",27.9
53069,"""Wahkiakum, (WA)""",190.1,"175.6 - 204.1 (644)",30.1
53073,"""Whatcom, (WA)""",143.3,"26.6 - 148.6 (644)",29.5
53077,"""Yakima, (WA)""",134.9,"26.6 - 148.6 (644)",29.5
04001,"""Apache, (AZ)""",187.2,"175.6 - 204.1 (644)",25
04003,"""Cochise, (AZ)""",192.8,"175.6 - 204.1 (644)",32
04005,"""Coconino, (AZ)""",160.8,"148.7 - 175.5 (644)",25.3
04007,"""Gila, (AZ)""",210.6,"204.2 - 242.8 (644)",33
04009,"""Graham, (AZ)""",170.3,"148.7 - 175.5 (644)",27.7
04011,"""Greenlee, (AZ)""",197.4,"175.6 - 204.1 (644)",27.8
04012,"""La Paz, (AZ)""",262.3,"242.9 - 651.5 (644)",34.2
04013,"""Maricopa, (AZ)""",157.1,"148.7 - 175.5 (644)",33.4
04015,"""Mohave, (AZ)""",327.3,"242.9 - 651.5 (644)",35.3
04017,"""Navajo, (AZ)""",176.2,"175.6 - 204.1 (644)",27.7
04019,"""Pima, (AZ)""",168.1,"148.7 - 175.5 (644)",29.9
04021,"""Pinal, (AZ)""",141.4,"26.6 - 148.6 (644)",33.9
04023,"""Santa Cruz, (AZ)""",165.6,"148.7 - 175.5 (644)",23.2
04025,"""Yavapai, (AZ)""",173.1,"148.7 - 175.5 (644)",30.8
04027,"""Yuma, (AZ)""",170.4,"148.7 - 175.5 (644)",35.9
06003,"""Alpine, (CA)""",191.6,"175.6 - 204.1 (644)",22
06019,"""Fresno, (CA)""",205.7,"204.2 - 242.8 (644)",35.9
06025,"""Imperial, (CA)""",151.3,"148.7 - 175.5 (644)",34.5
06027,"""Inyo, (CA)""",188.9,"175.6 - 204.1 (644)",26.4
06029,"""Kern, (CA)""",247.1,"242.9 - 651.5 (644)",43.3
06037,"""Los Angeles, (CA)""",198.6,"175.6 - 204.1 (644)",39.4
06039,"""Madera, (CA)""",173.5,"148.7 - 175.5 (644)",37.5
06051,"""Mono, (CA)""",150.9,"148.7 - 175.5 (644)",22.5
06059,"""Orange, (CA)""",148.8,"148.7 - 175.5 (644)",34.2
06065,"""Riverside, (CA)""",211.7,"204.2 - 242.8 (644)",35.4
06071,"""San Bernardino, (CA)""",206.7,"204.2 - 242.8 (644)",36.9
