"cnty_fips","display_name","Value","theme_range","inp_inc"
41011,"""Coos, (OR)""",171.1,"148.7 - 175.5 (644)",5012
41013,"""Crook, (OR)""",162,"148.7 - 175.5 (644)",4133
41015,"""Curry, (OR)""",169.7,"148.7 - 175.5 (644)",4744
41017,"""Deschutes, (OR)""",131.4,"26.6 - 148.6 (644)",3470
41019,"""Douglas, (OR)""",153.8,"148.7 - 175.5 (644)",4260
41021,"""Gilliam, (OR)""",132.3,"26.6 - 148.6 (644)",3098
41027,"""Hood River, (OR)""",120.8,"26.6 - 148.6 (644)",4230
41029,"""Jackson, (OR)""",110.3,"26.6 - 148.6 (644)",5335
41031,"""Jefferson, (OR)""",155.2,"148.7 - 175.5 (644)",3895
41033,"""Josephine, (OR)""",119.2,"26.6 - 148.6 (644)",5069
41035,"""Klamath, (OR)""",149.7,"148.7 - 175.5 (644)",5348
41037,"""Lake, (OR)""",155.7,"148.7 - 175.5 (644)",3492
41039,"""Lane, (OR)""",110.5,"26.6 - 148.6 (644)",5984
41041,"""Lincoln, (OR)""",121.7,"26.6 - 148.6 (644)",4449
41043,"""Linn, (OR)""",164.3,"148.7 - 175.5 (644)",4939
41047,"""Marion, (OR)""",124.2,"26.6 - 148.6 (644)",5296
41051,"""Multnomah, (OR)""",124.5,"26.6 - 148.6 (644)",6267
41053,"""Polk, (OR)""",103.5,"26.6 - 148.6 (644)",5250
41055,"""Sherman, (OR)""",148.4,"26.6 - 148.6 (644)",6226
41057,"""Tillamook, (OR)""",127.8,"26.6 - 148.6 (644)",4894
41065,"""Wasco, (OR)""",134.9,"26.6 - 148.6 (644)",4447
41067,"""Washington, (OR)""",98.5,"26.6 - 148.6 (644)",5391
41069,"""Wheeler, (OR)""",164.2,"148.7 - 175.5 (644)",5044
41071,"""Yamhill, (OR)""",136.6,"26.6 - 148.6 (644)",5080
53007,"""Chelan, (WA)""",126.3,"26.6 - 148.6 (644)",4783
53009,"""Clallam, (WA)""",141.2,"26.6 - 148.6 (644)",4418
53011,"""Clark, (WA)""",132.4,"26.6 - 148.6 (644)",5716
53015,"""Cowlitz, (WA)""",197.6,"175.6 - 204.1 (644)",5581
53027,"""Grays Harbor, (WA)""",179.1,"175.6 - 204.1 (644)",5541
53029,"""Island, (WA)""",149.2,"148.7 - 175.5 (644)",4540
53031,"""Jefferson, (WA)""",146.6,"26.6 - 148.6 (644)",4289
53033,"""King, (WA)""",133.1,"26.6 - 148.6 (644)",5271
53035,"""Kitsap, (WA)""",159.7,"148.7 - 175.5 (644)",5174
53037,"""Kittitas, (WA)""",152.8,"148.7 - 175.5 (644)",3606
53039,"""Klickitat, (WA)""",129,"26.6 - 148.6 (644)",4769
53041,"""Lewis, (WA)""",209.3,"204.2 - 242.8 (644)",5042
53045,"""Mason, (WA)""",146.9,"26.6 - 148.6 (644)",4775
53047,"""Okanogan, (WA)""",170.5,"148.7 - 175.5 (644)",4603
53049,"""Pacific, (WA)""",296.5,"242.9 - 651.5 (644)",5394
53053,"""Pierce, (WA)""",195.8,"175.6 - 204.1 (644)",5657
53055,"""San Juan, (WA)""",104.5,"26.6 - 148.6 (644)",3821
53057,"""Skagit, (WA)""",141.7,"26.6 - 148.6 (644)",4583
53059,"""Skamania, (WA)""",128,"26.6 - 148.6 (644)",4685
53061,"""Snohomish, (WA)""",144.6,"26.6 - 148.6 (644)",5529
53067,"""Thurston, (WA)""",150.8,"148.7 - 175.5 (644)",5310
53069,"""Wahkiakum, (WA)""",190.1,"175.6 - 204.1 (644)",4909
53073,"""Whatcom, (WA)""",143.3,"26.6 - 148.6 (644)",4359
53077,"""Yakima, (WA)""",134.9,"26.6 - 148.6 (644)",4971
04001,"""Apache, (AZ)""",187.2,"175.6 - 204.1 (644)",6938
04003,"""Cochise, (AZ)""",192.8,"175.6 - 204.1 (644)",4687
04005,"""Coconino, (AZ)""",160.8,"148.7 - 175.5 (644)",4972
04007,"""Gila, (AZ)""",210.6,"204.2 - 242.8 (644)",5318
04009,"""Graham, (AZ)""",170.3,"148.7 - 175.5 (644)",4290
04011,"""Greenlee, (AZ)""",197.4,"175.6 - 204.1 (644)",5535
04012,"""La Paz, (AZ)""",262.3,"242.9 - 651.5 (644)",5029
04013,"""Maricopa, (AZ)""",157.1,"148.7 - 175.5 (644)",4812
04015,"""Mohave, (AZ)""",327.3,"242.9 - 651.5 (644)",5164
04017,"""Navajo, (AZ)""",176.2,"175.6 - 204.1 (644)",5439
04019,"""Pima, (AZ)""",168.1,"148.7 - 175.5 (644)",4190
04021,"""Pinal, (AZ)""",141.4,"26.6 - 148.6 (644)",5115
04023,"""Santa Cruz, (AZ)""",165.6,"148.7 - 175.5 (644)",4351
04025,"""Yavapai, (AZ)""",173.1,"148.7 - 175.5 (644)",3548
04027,"""Yuma, (AZ)""",170.4,"148.7 - 175.5 (644)",5079
06003,"""Alpine, (CA)""",191.6,"175.6 - 204.1 (644)",2266
06019,"""Fresno, (CA)""",205.7,"204.2 - 242.8 (644)",4751
06025,"""Imperial, (CA)""",151.3,"148.7 - 175.5 (644)",5589
06027,"""Inyo, (CA)""",188.9,"175.6 - 204.1 (644)",5492
06029,"""Kern, (CA)""",247.1,"242.9 - 651.5 (644)",5065
06037,"""Los Angeles, (CA)""",198.6,"175.6 - 204.1 (644)",6269
06039,"""Madera, (CA)""",173.5,"148.7 - 175.5 (644)",4622
06051,"""Mono, (CA)""",150.9,"148.7 - 175.5 (644)",4044
