"cnty_fips","display_name","Value","theme_range","ou_inc"
41011,"""Coos, (OR)""",171.1,"148.7 - 175.5 (644)",2514
41013,"""Crook, (OR)""",162,"148.7 - 175.5 (644)",3104
41015,"""Curry, (OR)""",169.7,"148.7 - 175.5 (644)",2990
41017,"""Deschutes, (OR)""",131.4,"26.6 - 148.6 (644)",1303
41019,"""Douglas, (OR)""",153.8,"148.7 - 175.5 (644)",2128
41021,"""Gilliam, (OR)""",132.3,"26.6 - 148.6 (644)",2813
41027,"""Hood River, (OR)""",120.8,"26.6 - 148.6 (644)",2634
41029,"""Jackson, (OR)""",110.3,"26.6 - 148.6 (644)",1803
41031,"""Jefferson, (OR)""",155.2,"148.7 - 175.5 (644)",2633
41033,"""Josephine, (OR)""",119.2,"26.6 - 148.6 (644)",1555
41035,"""Klamath, (OR)""",149.7,"148.7 - 175.5 (644)",2360
41037,"""Lake, (OR)""",155.7,"148.7 - 175.5 (644)",2368
41039,"""Lane, (OR)""",110.5,"26.6 - 148.6 (644)",2073
41041,"""Lincoln, (OR)""",121.7,"26.6 - 148.6 (644)",3848
41043,"""Linn, (OR)""",164.3,"148.7 - 175.5 (644)",3292
41047,"""Marion, (OR)""",124.2,"26.6 - 148.6 (644)",2172
41051,"""Multnomah, (OR)""",124.5,"26.6 - 148.6 (644)",2240
41053,"""Polk, (OR)""",103.5,"26.6 - 148.6 (644)",2556
41055,"""Sherman, (OR)""",148.4,"26.6 - 148.6 (644)",4579
41057,"""Tillamook, (OR)""",127.8,"26.6 - 148.6 (644)",4597
41065,"""Wasco, (OR)""",134.9,"26.6 - 148.6 (644)",2795
41067,"""Washington, (OR)""",98.5,"26.6 - 148.6 (644)",2247
41069,"""Wheeler, (OR)""",164.2,"148.7 - 175.5 (644)",1997
41071,"""Yamhill, (OR)""",136.6,"26.6 - 148.6 (644)",2300
53007,"""Chelan, (WA)""",126.3,"26.6 - 148.6 (644)",3070
53009,"""Clallam, (WA)""",141.2,"26.6 - 148.6 (644)",2393
53011,"""Clark, (WA)""",132.4,"26.6 - 148.6 (644)",2191
53015,"""Cowlitz, (WA)""",197.6,"175.6 - 204.1 (644)",2143
53027,"""Grays Harbor, (WA)""",179.1,"175.6 - 204.1 (644)",2377
53029,"""Island, (WA)""",149.2,"148.7 - 175.5 (644)",3379
53031,"""Jefferson, (WA)""",146.6,"26.6 - 148.6 (644)",3071
53033,"""King, (WA)""",133.1,"26.6 - 148.6 (644)",2323
53035,"""Kitsap, (WA)""",159.7,"148.7 - 175.5 (644)",2081
53037,"""Kittitas, (WA)""",152.8,"148.7 - 175.5 (644)",3394
53039,"""Klickitat, (WA)""",129,"26.6 - 148.6 (644)",4108
53041,"""Lewis, (WA)""",209.3,"204.2 - 242.8 (644)",2520
53045,"""Mason, (WA)""",146.9,"26.6 - 148.6 (644)",3090
53047,"""Okanogan, (WA)""",170.5,"148.7 - 175.5 (644)",3818
